time,open,high,low,close,HH 2/2,LH 2/2,HL 2/2,LL 2/2,HH 5/5,LH 5/5,HL 5/5,LL 5/5,ВХОД,Запрет структуры,Запрет (буква),Против тренда,Против тренда (буква),Слом,Слом (буква),Заморозка,Заморозка (буква),Бол.свеча,Бол.свеча (буква),Нет RR,Нет RR (буква),Стоп-неделя,Фильтр БОК+LONG,Прочее
2026-05-25T10:10:00+03:00,4562.12,4564.52,4560.72,4560.79,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-25T10:15:00+03:00,4560.785,4561.25,4553.28,4555.495,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-25T10:20:00+03:00,4555.48,4556.16,4552.495,4555.655,,,4552.495,,,,4552.495,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-25T10:25:00+03:00,4555.67,4557.11,4554.19,4554.69,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-25T10:30:00+03:00,4554.695,4561.74,4554.28,4559.09,,4561.74,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-25T10:35:00+03:00,4559.05,4560.06,4557.31,4558.845,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2026-05-25T10:40:00+03:00,4558.865,4561.275,4558.68,4560.005,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-25T10:45:00+03:00,4560.01,4562.265,4558.695,4562.245,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-25T10:50:00+03:00,4562.23,4565.18,4561.815,4563.865,4565.18,,,,4565.18,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-25T10:55:00+03:00,4563.85,4565.11,4563.345,4564.79,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2026-05-25T11:00:00+03:00,4564.78,4565.085,4562.62,4562.635,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-25T11:05:00+03:00,4562.63,4563.13,4559.815,4561.45,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-25T11:10:00+03:00,4561.505,4562.065,4559.585,4561.09,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-25T11:15:00+03:00,4561.1,4561.34,4559.555,4560.725,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-25T11:20:00+03:00,4560.87,4561.225,4555.25,4555.31,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-25T11:25:00+03:00,4555.36,4556.135,4553.79,4554.9,,,4553.79,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-25T11:30:00+03:00,4554.905,4558.19,4554.275,4557.09,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-25T11:35:00+03:00,4557.085,4558.095,4554.97,4556.09,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2026-05-25T11:40:00+03:00,4556.05,4556.49,4553.445,4554.6,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-25T11:45:00+03:00,4554.635,4555.36,4553.435,4554.6,,,,4553.435,,,4553.435,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-25T11:50:00+03:00,4554.61,4556.485,4554.345,4556.04,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-25T11:55:00+03:00,4556.025,4556.63,4555.62,4556.01,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-25T12:00:00+03:00,4556.07,4558.83,4555.585,4557.19,,4558.83,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
