слой,состояние,начало,конец,баров,эффективность хода,чистый ход %
5/5,ОБА живы,2017-08-01 17:00,2017-08-04 11:00,64,0.2692,0.377
5/5,ОБА живы,2017-08-07 23:00,2017-08-08 07:00,9,0.6388,0.200
5/5,ОБА живы,2017-08-09 05:00,2017-08-09 11:00,7,0.7117,0.317
5/5,ОБА живы,2017-08-11 18:00,2017-08-14 22:00,27,0.6816,0.695
5/5,ОБА живы,2017-08-21 04:00,2017-08-25 12:00,101,0.0758,0.071
5/5,ОБА живы,2017-08-30 17:00,2017-08-31 00:00,7,0.2226,0.049
5/5,ОБА живы,2017-09-06 01:00,2017-09-06 15:00,15,0.1441,0.067
5/5,ОБА живы,2017-09-26 02:00,2017-09-28 02:00,47,0.8381,2.061
5/5,ОБА живы,2017-09-29 17:00,2017-10-01 23:00,6,0.6008,0.411
5/5,ОБА живы,2017-10-04 19:00,2017-10-05 07:00,12,0.0551,0.014
5/5,ОБА живы,2017-10-23 05:00,2017-10-23 11:00,7,0.3636,0.090
5/5,ОБА живы,2017-10-26 10:00,2017-10-26 18:00,9,0.7170,0.757
5/5,ОБА живы,2017-11-07 20:00,2017-11-08 15:00,19,0.6902,0.585
5/5,ОБА живы,2017-11-15 00:00,2017-11-15 07:00,8,0.5541,0.147
5/5,ОБА живы,2017-11-15 21:00,2017-11-16 03:00,6,0.1538,0.024
5/5,ОБА живы,2017-11-17 07:00,2017-11-17 13:00,7,0.5467,0.155
5/5,ОБА живы,2017-11-21 20:00,2017-11-22 06:00,10,0.6547,0.225
5/5,ОБА живы,2017-11-24 16:00,2017-11-27 09:00,14,0.5928,0.295
5/5,ОБА живы,2017-12-04 13:00,2017-12-05 13:00,24,0.0314,0.013
5/5,ОБА живы,2017-12-08 19:00,2017-12-11 17:00,22,0.4341,0.219
5/5,ОБА живы,2017-12-20 00:00,2017-12-20 21:00,22,0.5149,0.268
5/5,ОБА живы,2018-01-05 02:00,2018-01-09 12:00,57,0.6823,0.499
5/5,ОБА живы,2018-01-11 12:00,2018-01-12 07:00,19,0.6537,0.625
5/5,ОБА живы,2018-02-01 02:00,2018-02-01 19:00,18,0.3533,0.251
5/5,ОБА живы,2018-02-09 04:00,2018-02-12 00:00,20,0.0897,0.064
5/5,ОБА живы,2018-02-19 01:00,2018-02-19 23:00,18,0.6482,0.373
5/5,ОБА живы,2018-03-11 22:00,2018-03-12 09:00,12,0.7749,0.410
5/5,ОБА живы,2018-03-13 04:00,2018-03-14 01:00,21,0.5194,0.581
5/5,ОБА живы,2018-03-14 19:00,2018-03-15 11:00,16,0.4751,0.219
5/5,ОБА живы,2018-03-22 23:00,2018-03-23 05:00,7,0.6431,0.414
5/5,ОБА живы,2018-03-27 18:00,2018-03-29 11:00,40,0.7736,1.395
5/5,ОБА живы,2018-04-04 17:00,2018-04-05 16:00,23,0.7795,0.844
5/5,ОБА живы,2018-04-06 06:00,2018-04-09 10:00,28,0.2365,0.277
5/5,ОБА живы,2018-04-16 19:00,2018-04-17 06:00,11,0.4194,0.174
5/5,ОБА живы,2018-04-25 17:00,2018-04-26 13:00,20,0.1178,0.048
5/5,ОБА живы,2018-05-07 06:00,2018-05-08 12:00,30,0.3983,0.269
5/5,ОБА живы,2018-05-09 00:00,2018-05-10 12:00,36,0.4630,0.665
5/5,ОБА живы,2018-05-14 02:00,2018-05-14 16:00,15,0.4344,0.127
5/5,ОБА живы,2018-05-22 13:00,2018-05-24 12:00,46,0.4337,0.393
5/5,ОБА живы,2018-05-28 03:00,2018-05-28 22:00,15,0.2433,0.093
