слой,время вершины,цена вершины,время колена-низа,цена колена-низа,время настоящего дна,цена настоящего дна,глубина пунктов,глубина в импульсах,баров раньше,баров без колена,кто помешал,размах помехи в медианах
5/5,2017-11-14 18:00,1283.638,2017-11-15 06:00,1280.498,2017-11-14 23:00,1279.188,1.310,0.097,7,11,другая слева,0.80
5/5,2017-12-08 14:00,1252.416,2017-12-11 01:00,1246.966,2017-12-08 18:00,1246.515,0.451,0.054,6,10,другая слева,1.83
5/5,2017-12-27 19:00,1289.034,2017-12-28 13:00,1288.632,2017-12-27 21:00,1286.957,1.675,0.218,15,17,другая слева,0.43
5/5,2018-01-10 11:00,1327.874,2018-01-10 23:00,1316.380,2018-01-10 14:00,1314.684,1.696,0.087,8,11,другая слева,0.40
5/5,2018-03-01 20:00,1321.252,2018-03-02 09:00,1315.818,2018-03-01 21:00,1315.173,0.645,0.035,11,12,другая слева,1.63
5/5,2018-05-10 12:00,1323.187,2018-05-11 05:00,1318.498,2018-05-10 15:00,1316.271,2.227,0.180,13,16,другая слева,0.56
5/5,2018-05-17 13:00,1292.197,2018-05-18 01:00,1287.795,2018-05-17 15:00,1287.692,0.103,0.014,9,11,другая слева,1.00
5/5,2018-10-01 12:00,1192.123,2018-10-02 10:00,1189.122,2018-10-01 14:00,1185.208,3.914,0.522,19,21,другая слева,0.51
5/5,2018-11-28 17:00,1226.386,2018-11-29 12:00,1224.392,2018-11-28 21:00,1220.196,4.196,0.278,14,18,другая слева,0.54
5/5,2018-12-12 18:00,1247.244,2018-12-13 02:00,1244.045,2018-12-12 19:00,1244.020,0.025,0.005,6,7,другая слева,0.77
5/5,2019-01-29 00:00,1304.688,2019-01-29 14:00,1306.244,2019-01-29 01:00,1302.834,3.410,0.493,13,14,другая слева,0.30
5/5,2019-02-07 14:00,1311.958,2019-02-08 07:00,1307.890,2019-02-07 15:00,1306.401,1.489,0.164,15,16,другая слева,1.04
5/5,2019-02-14 17:00,1314.416,2019-02-15 15:00,1314.336,2019-02-14 18:00,1310.730,3.606,0.301,20,21,другая слева,2.21
5/5,2019-03-22 13:00,1314.962,2019-03-25 00:00,1311.115,2019-03-22 15:00,1309.992,1.123,0.097,8,10,свеча вершины,1.37
5/5,2019-05-30 15:00,1289.274,2019-06-03 13:00,1312.834,2019-05-30 16:00,1285.852,26.982,1.907,43,44,другая слева,0.37
5/5,2019-06-17 13:00,1343.296,2019-06-18 01:00,1338.745,2019-06-17 14:00,1337.102,1.643,0.161,10,11,другая слева,0.37
5/5,2019-06-20 01:00,1394.279,2019-06-20 08:00,1377.977,2019-06-20 02:00,1377.201,0.776,0.015,6,7,другая слева,2.17
5/5,2019-09-24 16:00,1535.668,2019-09-25 06:00,1527.798,2019-09-24 18:00,1524.690,3.108,0.156,11,13,другая слева,1.92
5/5,2019-10-18 13:00,1493.417,2019-10-21 01:00,1489.204,2019-10-18 14:00,1488.873,0.331,0.040,10,11,другая слева,1.26
5/5,2019-11-01 14:00,1516.171,2019-11-04 08:00,1508.674,2019-11-01 18:00,1507.248,1.426,0.112,12,16,другая слева,1.20
5/5,2019-11-06 16:00,1494.254,2019-11-07 01:00,1489.916,2019-11-06 17:00,1489.476,0.440,0.039,7,8,другая слева,0.81
5/5,2020-01-05 23:00,1589.739,2020-01-06 07:00,1570.352,2020-01-06 00:00,1567.112,3.240,0.066,7,8,другая слева,0.94
5/5,2020-02-12 16:00,1570.502,2020-02-13 14:00,1571.930,2020-02-12 20:00,1565.041,6.889,1.000,17,21,другая слева,1.09
5/5,2020-04-08 13:00,1656.586,2020-04-08 22:00,1643.836,2020-04-08 14:00,1643.436,0.400,0.029,7,8,другая слева,1.97
5/5,2020-04-12 22:00,1692.832,2020-04-13 13:00,1686.301,2020-04-13 02:00,1680.308,5.993,0.122,11,15,свеча вершины,4.71
5/5,2020-04-23 15:00,1738.878,2020-04-24 05:00,1721.256,2020-04-23 17:00,1721.124,0.132,0.004,11,13,другая слева,3.41
5/5,2020-06-04 02:00,1705.570,2020-06-04 14:00,1700.455,2020-06-04 06:00,1698.469,1.986,0.124,8,12,другая слева,1.58
5/5,2020-06-29 15:00,1774.318,2020-06-30 00:00,1768.842,2020-06-29 16:00,1767.462,1.380,0.165,7,8,другая слева,1.84
5/5,2020-07-20 14:00,1820.648,2020-07-21 01:00,1815.852,2020-07-20 15:00,1814.851,1.001,0.068,9,10,другая слева,0.48
