тф,счёт,точка,сторона,контекст5/5,сделок,сыройR,надбавка,шум2s,база,половина1,половина2,вердикт
1H,вниз,1,SHORT,против/нет,170,0.0933,0.1717,0.3955,-0.0784,-0.1886,0.4696,нейтрально
1H,вверх,0,SHORT,против/нет,191,0.0700,0.1484,0.3329,-0.0784,0.2072,0.0890,нейтрально
1H,вверх,0,SHORT,согласен,71,0.3403,0.4187,0.6140,-0.0784,0.9602,-0.2408,нейтрально
1H,вверх,1,SHORT,согласен,63,-0.3570,-0.2786,0.4318,-0.0784,-0.7769,0.3448,нейтрально
1H,вверх,2,SHORT,согласен,30,-0.4894,-0.4110,0.5778,-0.0784,-0.5738,-0.2483,нейтрально
1H,вниз,0,SHORT,согласен,32,0.2520,0.3304,0.7884,-0.0784,0.4972,0.0139,нейтрально
1H,вниз,1,SHORT,согласен,76,-0.3257,-0.2473,0.3825,-0.0784,-0.3250,-0.0863,нейтрально
1H,вверх,3,LONG,согласен,20,-0.0666,-0.1692,0.8594,0.1026,-1.1567,0.2736,мало данных
1H,вверх,3,SHORT,против/нет,98,-0.4378,-0.3594,0.3844,-0.0784,-0.6730,-0.1616,нейтрально
1H,вверх,1,LONG,согласен,55,0.3315,0.2289,0.6407,0.1026,-0.1209,0.4040,нейтрально
1H,вниз,2,SHORT,против/нет,24,0.1466,0.2249,0.9416,-0.0784,0.2020,0.2440,мало данных
1H,вниз,1,LONG,против/нет,165,-0.0956,-0.1982,0.3555,0.1026,0.1426,-0.5010,нейтрально
1H,вверх,1,SHORT,против/нет,192,0.0409,0.1192,0.3855,-0.0784,0.5068,-0.2931,нейтрально
1H,вверх,4,SHORT,против/нет,99,-0.0452,0.0332,0.4687,-0.0784,0.1050,-0.0295,нейтрально
1H,вниз,0,LONG,согласен,50,0.2313,0.1287,0.6436,0.1026,-0.2716,0.4910,нейтрально
1H,вниз,2,LONG,согласен,19,-0.3837,-0.4863,0.8667,0.1026,-1.1567,-0.0840,мало данных
1H,вниз,3,SHORT,против/нет,22,-0.3404,-0.2621,0.7255,-0.0784,-0.2461,-0.2882,мало данных
1H,вверх,0,LONG,против/нет,75,-0.1796,-0.2822,0.4812,0.1026,-0.5679,0.0553,нейтрально
1H,вниз,0,SHORT,против/нет,97,-0.2345,-0.1561,0.4075,-0.0784,-0.2250,-0.0915,нейтрально
1H,вверх,2,SHORT,против/нет,195,-0.1806,-0.1023,0.3058,-0.0784,-0.3545,0.1005,нейтрально
1H,вверх,3,LONG,против/нет,13,0.6691,0.5664,1.4649,0.1026,0.0422,0.8182,мало данных
