тф,счёт,точка,сторона,сделок,сыройR,надбавка,шум2s,база,половина1,половина2,вердикт
1H,вниз,1,SHORT,367,-0.0074,0.1217,0.3400,-0.1291,-0.0438,0.3031,нейтрально
1H,вверх,0,SHORT,317,-0.0403,0.0888,0.4154,-0.1291,0.2242,-0.0493,нейтрально
1H,вверх,1,SHORT,360,-0.0703,0.0588,0.4262,-0.1291,0.3095,-0.2226,нейтрально
1H,вверх,2,SHORT,255,-0.3225,-0.1934,0.3716,-0.1291,-0.3776,-0.0511,нейтрально
1H,вниз,0,SHORT,248,0.1857,0.3148,0.6927,-0.1291,-0.0564,0.6771,нейтрально
1H,вверх,3,LONG,64,0.7146,0.5712,0.9443,0.1434,0.0028,0.8782,нейтрально
1H,вверх,3,SHORT,128,-0.5091,-0.3800,0.3890,-0.1291,-0.5416,-0.3051,нейтрально
1H,вверх,1,LONG,222,0.1570,0.0136,0.4213,0.1434,-0.1591,0.1436,нейтрально
1H,вниз,2,LONG,119,0.6038,0.4604,0.8253,0.1434,0.9870,-0.0031,нейтрально
1H,вниз,2,SHORT,161,-0.2220,-0.0929,0.3606,-0.1291,-0.0666,-0.1234,нейтрально
1H,вверх,0,LONG,203,-0.4351,-0.5785,0.2544,0.1434,-0.9363,-0.2855,НЕЛЬЗЯ
1H,вниз,0,LONG,158,0.1005,-0.0429,0.4347,0.1434,-0.0460,-0.0563,нейтрально
1H,вниз,1,LONG,221,0.1391,-0.0043,0.4219,0.1434,0.6104,-0.4898,нейтрально
1H,вверх,4,LONG,43,-0.4835,-0.6269,0.5026,0.1434,-1.3877,0.1660,нейтрально
1H,вверх,4,SHORT,106,-0.7041,-0.5751,0.2796,-0.1291,-0.1215,-0.9815,НЕЛЬЗЯ
1H,вниз,3,LONG,83,0.3425,0.1991,0.8958,0.1434,-0.1397,0.4636,нейтрально
1H,вниз,3,SHORT,115,-0.1765,-0.0474,0.6751,-0.1291,-0.0001,-0.0970,нейтрально
1H,вверх,2,LONG,126,0.0337,-0.1097,0.5606,0.1434,-0.0458,-0.1203,нейтрально
1H,вниз,5,LONG,16,1.3341,1.1907,2.2701,0.1434,0.9125,1.4100,мало данных
1H,вниз,5,SHORT,23,-0.0428,0.0863,1.4191,-0.1291,0.4000,-0.2900,мало данных
1H,вверх,5,SHORT,51,-0.8642,-0.7351,0.2717,-0.1291,-0.5226,-0.9815,НЕЛЬЗЯ
1H,вверх,5,LONG,20,-0.0266,-0.1700,0.8983,0.1434,0.3822,-0.9445,мало данных
1H,вниз,4,LONG,55,0.8600,0.7166,1.1528,0.1434,0.7881,0.5880,нейтрально
1H,вниз,4,SHORT,64,0.5526,0.6817,1.1225,-0.1291,0.3638,1.0555,нейтрально
5m,вверх,0,SHORT,313,-0.1876,-0.2914,0.2680,0.1037,0.0703,-0.5317,нейтрально
5m,вверх,1,SHORT,473,0.2664,0.1626,0.3098,0.1037,0.2043,0.1062,нейтрально
5m,вверх,2,SHORT,282,0.3761,0.2723,0.4555,0.1037,0.2431,0.2942,нейтрально
5m,вверх,3,SHORT,179,0.2247,0.1210,0.4596,0.1037,-0.2294,0.4172,нейтрально
5m,вниз,2,LONG,350,-0.3797,-0.3448,0.2290,-0.0349,-0.1510,-0.5977,НЕЛЬЗЯ
5m,вниз,3,LONG,173,-0.3729,-0.3380,0.3031,-0.0349,-0.4118,-0.2615,НЕЛЬЗЯ
5m,вверх,0,LONG,334,0.1335,0.1684,0.3632,-0.0349,0.1230,0.2061,нейтрально
5m,вверх,1,LONG,480,-0.0524,-0.0176,0.2692,-0.0349,-0.1566,0.1516,нейтрально
5m,вверх,2,LONG,279,0.1709,0.2058,0.3668,-0.0349,0.2558,0.1480,нейтрально
5m,вниз,0,LONG,387,0.0294,0.0643,0.2818,-0.0349,0.3410,-0.2495,нейтрально
5m,вниз,1,LONG,494,-0.0825,-0.0476,0.2283,-0.0349,-0.2668,0.1866,нейтрально
5m,вверх,3,LONG,181,-0.3061,-0.2712,0.3389,-0.0349,-0.2218,-0.3341,нейтрально
5m,вниз,3,SHORT,162,0.2503,0.1466,0.6053,0.1037,0.9489,-0.4951,нейтрально
5m,вниз,1,SHORT,481,0.2056,0.1019,0.3179,0.1037,0.0218,0.1734,нейтрально
5m,вверх,4,LONG,92,0.0857,0.1206,0.5533,-0.0349,0.3811,-0.1506,нейтрально
5m,вверх,4,SHORT,97,-0.2103,-0.3140,0.4295,0.1037,-0.4560,-0.1876,нейтрально
5m,вниз,4,LONG,103,0.6520,0.6869,0.6799,-0.0349,0.4674,1.0338,МОЖНО
5m,вниз,0,SHORT,390,-0.0592,-0.1630,0.2911,0.1037,-0.2657,-0.0790,нейтрально
5m,вниз,2,SHORT,316,0.0948,-0.0089,0.3274,0.1037,-0.2855,0.2326,нейтрально
5m,вверх,5,LONG,55,-0.6287,-0.5939,0.5902,-0.0349,-0.8792,-0.4032,НЕЛЬЗЯ
5m,вверх,5,SHORT,57,-0.2339,-0.3376,0.8132,0.1037,-0.0205,-0.5579,нейтрально
5m,вниз,5,LONG,62,1.1344,1.1692,1.1913,-0.0349,1.4137,0.9140,нейтрально
5m,вниз,4,SHORT,98,-0.1908,-0.2946,0.4912,0.1037,-0.1655,-0.4937,нейтрально
5m,вниз,5,SHORT,55,-0.1142,-0.2179,0.6487,0.1037,-0.9964,0.3370,нейтрально
