слой;№;время;бар;подпись;сторона;цена колена;цена сейчас;нога;баров от предыдущего;мутность
5/5;0;2017-07-27 03:00:00;23;?;верх;1265,046;1262,417;0,000;0;1
5/5;1;2017-07-27 08:00:00;28;?;низ;1260,916;1263,430;4,130;5;1
5/5;2;2017-07-27 12:00:00;32;HH;верх;1265,366;1261,034;4,450;4;1
5/5;3;2017-07-27 16:00:00;36;LL;низ;1254,584;1259,245;10,782;4;2
5/5;4;2017-07-30 22:00:00;64;HH;верх;1271,232;1267,541;16,648;28;1
5/5;5;2017-07-31 07:00:00;73;HL;низ;1265,877;1267,827;5,355;9;2
5/5;6;2017-08-01 04:00:00;93;LH;верх;1270,852;1267,533;4,975;20;1
5/5;7;2017-08-01 12:00:00;101;LL;низ;1262,556;1272,801;8,296;8;1
5/5;8;2017-08-01 14:00:00;103;HH;верх;1274,204;1269,071;11,648;2;1
5/5;9;2017-08-02 12:00:00;124;HL;низ;1262,998;1270,405;11,206;21;2
5/5;10;2017-08-02 17:00:00;129;LH;верх;1272,948;1263,156;9,950;5;1
5/5;11;2017-08-02 23:00:00;134;LL;низ;1256,248;1262,509;16,700;5;2
5/5;12;2017-08-03 19:00:00;154;LH;верх;1270,880;1268,438;14,632;20;1
5/5;13;2017-08-04 02:00:00;160;HL;низ;1267,338;1269,443;3,542;6;1
5/5;14;2017-08-04 07:00:00;165;LH;верх;1270,281;1261,934;2,943;5;1
5/5;15;2017-08-04 14:00:00;172;LL;низ;1254,271;1258,584;16,010;7;1
5/5;16;2017-08-04 20:00:00;178;LH;верх;1259,645;1258,072;5,374;6;1
5/5;17;2017-08-07 12:00:00;193;HL;низ;1255,829;1258,668;3,816;15;2
5/5;18;2017-08-07 17:00:00;198;HH;верх;1260,039;1257,779;4,210;5;1
5/5;19;2017-08-07 22:00:00;202;HL;низ;1257,076;1259,958;2,963;4;1
5/5;20;2017-08-08 02:00:00;206;HH;верх;1261,054;1260,289;3,978;4;1
5/5;21;2017-08-08 07:00:00;211;HL;низ;1259,222;1262,322;1,832;5;1
5/5;22;2017-08-08 10:00:00;214;HH;верх;1265,346;1253,396;6,124;3;1
5/5;23;2017-08-08 15:00:00;219;LL;низ;1251,614;1260,738;13,732;5;1
5/5;24;2017-08-11 01:00:00;274;HH;верх;1289,112;1285,381;37,498;55;5
5/5;25;2017-08-11 01:00:00;274;HL;низ;1283,968;1285,381;5,144;0;1
5/5;26;2017-08-11 12:00:00;285;HH;верх;1292,354;1288,229;8,386;11;1
5/5;27;2017-08-11 13:00:00;286;LL;низ;1281,356;1289,909;10,998;1;1
5/5;28;2017-08-11 19:00:00;292;LH;верх;1291,842;1287,717;10,486;6;1
5/5;29;2017-08-14 11:00:00;307;LL;низ;1278,685;1285,131;13,157;15;1
5/5;30;2017-08-14 16:00:00;312;LH;верх;1285,631;1280,942;6,946;5;1
5/5;31;2017-08-15 13:00:00;332;LL;низ;1267,397;1271,658;18,234;20;2
5/5;32;2017-08-15 17:00:00;336;LH;верх;1275,176;1272,999;7,779;4;2
5/5;33;2017-08-16 13:00:00;355;HL;низ;1267,734;1282,465;7,442;19;2
5/5;34;2017-08-17 07:00:00;372;HH;верх;1290,253;1284,562;22,519;17;3
5/5;35;2017-08-17 14:00:00;379;HL;низ;1281,254;1288,677;8,999;7;1
5/5;36;2017-08-17 23:00:00;387;LH;верх;1289,462;1288,104;8,208;8;1
5/5;37;2017-08-18 01:00:00;389;HL;низ;1285,996;1288,963;3,466;2;1
5/5;38;2017-08-18 13:00:00;401;HH;верх;1300,926;1287,927;14,930;12;1
5/5;39;2017-08-20 23:00:00;410;LL;низ;1280,613;1285,863;20,313;9;1
5/5;40;2017-08-21 13:00:00;424;LH;верх;1294,081;1291,618;13,468;14;1
5/5;41;2017-08-22 07:00:00;441;HL;низ;1283,148;1286,677;10,933;17;1
5/5;42;2017-08-22 13:00:00;447;LH;верх;1291,230;1285,393;8,082;6;1
5/5;43;2017-08-22 14:00:00;448;LL;низ;1282,053;1285,617;9,177;1;2
5/5;44;2017-08-23 12:00:00;469;HH;верх;1291,598;1289,423;9,545;21;2
5/5;45;2017-08-24 08:00:00;488;HL;низ;1284,492;1289,201;7,106;19;1
5/5;46;2017-08-24 13:00:00;493;LH;верх;1290,249;1285,781;5,757;5;1
5/5;47;2017-08-24 14:00:00;494;HL;низ;1284,881;1286,274;5,368;1;2
5/5;48;2017-08-25 13:00:00;516;HH;верх;1295,152;1291,451;10,271;22;1
5/5;49;2017-08-25 13:00:00;516;LL;низ;1276,196;1291,451;18,956;0;1
5/5;50;2017-08-29 08:00:00;557;HH;верх;1326,132;1321,367;49,936;41;2
5/5;51;2017-08-29 19:00:00;568;HL;низ;1305,060;1311,985;21,072;11;1
5/5;52;2017-08-30 03:00:00;575;LH;верх;1313,533;1310,199;8,473;7;1
5/5;53;2017-08-30 06:00:00;578;HL;низ;1306,368;1309,881;7,165;3;1
5/5;54;2017-08-30 10:00:00;582;HH;верх;1313,777;1308,922;7,409;4;1
5/5;55;2017-08-31 01:00:00;596;LL;низ;1297,876;1304,204;15,901;14;2
5/5;56;2017-08-31 19:00:00;614;HH;верх;1323,690;1319,256;25,814;18;1
5/5;57;2017-09-01 07:00:00;625;HL;низ;1317,806;1321,723;5,884;11;1
5/5;58;2017-09-01 12:00:00;630;HH;верх;1329,053;1324,518;11,247;5;1
5/5;59;2017-09-01 14:00:00;632;LL;низ;1316,452;1326,075;12,601;2;1
5/5;60;2017-09-04 07:00:00;648;HH;верх;1340,038;1334,086;23,586;16;2
5/5;61;2017-09-04 08:00:00;649;HL;низ;1332,273;1334,159;7,765;1;2
5/5;62;2017-09-05 02:00:00;662;LH;верх;1338,703;1331,839;6,430;13;1
5/5;63;2017-09-05 11:00:00;671;LL;низ;1326,267;1337,620;12,436;9;1
5/5;64;2017-09-05 19:00:00;679;HH;верх;1344,421;1339,078;18,154;8;1
5/5;65;2017-09-06 07:00:00;690;HL;низ;1336,406;1339,391;8,015;11;1
5/5;66;2017-09-06 09:00:00;692;LH;верх;1342,005;1339,503;5,599;2;2
5/5;67;2017-09-06 18:00:00;701;LL;низ;1331,640;1333,501;10,365;9;1
5/5;68;2017-09-08 05:00:00;734;HH;верх;1357,624;1354,869;25,984;33;1
5/5;69;2017-09-10 23:00:00;751;HL;низ;1333,995;1337,549;23,629;17;2
5/5;70;2017-09-11 09:00:00;761;LH;верх;1339,161;1334,572;5,166;10;1
5/5;71;2017-09-12 10:00:00;785;LL;низ;1322,678;1327,353;16,483;24;2
5/5;72;2017-09-12 22:00:00;796;LH;верх;1334,856;1331,811;12,178;11;2
5/5;73;2017-09-13 05:00:00;803;HL;низ;1329,418;1334,597;5,438;7;1
