тф,слой,счёт,точка,сторона,стоп,цель,сделок,EV,шум2s,EV_1половина,EV_2половина,n1,n2
1H,5/5,-1,1,LONG,свеча,3R,347,-0.0086,0.1857,0.1546,-0.2157,194,153
1H,5/5,-1,1,LONG,свеча,2R,347,-0.0749,0.1490,0.0825,-0.2745,194,153
1H,5/5,-1,1,LONG,колено,3R,313,0.4058,0.2162,0.5682,0.1971,176,137
1H,5/5,-1,1,LONG,колено,2R,316,0.2342,0.1664,0.3729,0.0576,177,139
1H,5/5,-1,1,SHORT,свеча,3R,347,-0.0086,0.1857,-0.1753,0.2026,194,153
1H,5/5,-1,1,SHORT,свеча,2R,347,-0.0922,0.1482,-0.2268,0.0784,194,153
1H,5/5,-1,1,SHORT,колено,3R,291,-0.0378,0.2008,-0.3962,0.3939,159,132
1H,5/5,-1,1,SHORT,колено,2R,291,-0.0412,0.1643,-0.3208,0.2955,159,132
1H,5/5,1,1,LONG,свеча,3R,352,0.2045,0.1959,0.1620,0.2486,179,173
1H,5/5,1,1,LONG,свеча,2R,352,0.0653,0.1533,0.1397,-0.0116,179,173
1H,5/5,1,1,LONG,колено,3R,316,0.4177,0.2156,0.4684,0.3671,158,158
1H,5/5,1,1,LONG,колено,2R,324,0.2222,0.1640,0.3171,0.1250,164,160
1H,5/5,1,1,SHORT,свеча,3R,352,-0.0795,0.1797,-0.1732,0.0173,179,173
1H,5/5,1,1,SHORT,свеча,2R,352,-0.0966,0.1469,-0.1285,-0.0636,179,173
1H,5/5,1,1,SHORT,колено,3R,304,-0.2763,0.1769,-0.3333,-0.2162,156,148
1H,5/5,1,1,SHORT,колено,2R,310,-0.1677,0.1528,-0.1835,-0.1513,158,152
1H,5/5,1,2,LONG,свеча,3R,266,-0.1128,0.2042,0.0000,-0.2459,144,122
1H,5/5,1,2,LONG,свеча,2R,266,-0.1541,0.1658,-0.1458,-0.1639,144,122
1H,5/5,1,2,LONG,колено,3R,250,0.3440,0.2395,0.1223,0.6216,139,111
1H,5/5,1,2,LONG,колено,2R,252,0.1786,0.1850,-0.0357,0.4464,140,112
