tStart,start,dir,dur,moveImp,born,maxKN,n2,n2ag,n2ag_,lagAg,durAg,durAg_,zeroToDeath
2024-08-16T11:00,21,-1,45,-4.834406623734914,первый,2,2,0,2,-1,-1,12.5,57
2024-08-20T15:00,71,1,47,-3.5701149425287606,рывок,4,2,1,1,6,13,41,69
2024-08-22T23:00,125,-1,17,-0.9664760402287553,рывок,3,0,0,0,-1,-1,-1,58
2024-08-26T19:00,167,1,41,-1.0386954118297298,пауза,2,1,0,1,-1,-1,8,52
2024-08-30T02:00,242,-1,98,0.3740555951532419,пауза,5,2,1,1,21,61,43,144
2024-09-05T13:00,343,1,29,-4.218097447796023,рывок,2,0,0,0,-1,-1,-1,35
2024-09-09T11:00,387,-1,11,-0.8967532467532379,пауза,2,1,0,1,-1,-1,39,30
2024-09-10T15:00,414,1,118,3.45594125500667,рывок,4,3,2,1,42,33.5,8,147
2024-09-18T08:00,545,-1,47,-2.6670197740112322,рывок,2,2,1,1,22,1,6,85
2024-09-23T01:00,607,1,111,0.6045460100207674,пауза,3,1,0,1,-1,-1,38,131
2024-09-30T08:00,729,-1,92,-0.4151561476304921,пауза,4,4,2,2,55,6.0,9.0,124
2024-10-07T14:00,850,1,19,-0.753566158386624,пауза,2,1,0,1,-1,-1,22,41
2024-10-08T17:00,876,-1,51,-0.7040905134899895,рывок,3,2,1,1,0,42,55,77
2024-10-11T17:00,945,1,184,5.879090909090874,пауза,5,3,2,1,57,48.0,2,209
2024-10-24T21:00,1156,-1,52,-0.4790280590107054,пауза,2,2,1,1,16,3,59,57
2024-10-29T04:00,1209,1,57,0.1387559808612245,рывок,5,1,1,0,47,3,-1,72
2024-11-01T13:00,1287,-1,242,6.354789272030661,пауза,5,6,2,4,20,51.0,18.5,275
2024-11-18T10:00,1536,1,112,4.78753026634384,рывок,5,0,0,0,-1,-1,-1,125
2024-11-25T18:00,1659,-1,35,-0.3290333115610813,пауза,2,1,0,1,-1,-1,23,40
2024-11-27T08:00,1695,1,59,-0.48303299789374277,рывок,2,3,1,2,34,22,18.0,81
2024-12-02T22:00,1774,-1,104,-0.6192147034252174,рывок,2,3,1,2,65,10,53.5,139
2024-12-09T12:00,1879,1,73,1.3363425925926091,рывок,4,3,1,2,56,5,8.5,92
2024-12-12T23:00,1959,-1,146,2.494419076610851,рывок,4,8,5,3,20,3,3,160
2024-12-24T12:00,2132,-1,11,-0.843691148775904,пауза,2,1,0,1,-1,-1,31,37
2024-12-26T23:00,2163,1,11,-0.8525809273840796,рывок,2,0,0,0,-1,-1,-1,37
2024-12-27T21:00,2184,-1,42,-0.1903328944893714,пауза,4,0,0,0,-1,-1,-1,54
2025-01-06T15:00,2293,-1,3,-1.5238757533611653,рывок,1,0,0,0,-1,-1,-1,15
2025-01-08T11:00,2335,1,72,0.9348628691983056,пауза,5,1,0,1,-1,-1,32,113
2025-01-14T04:00,2420,-1,27,-0.8776019983347353,рывок,2,1,0,1,-1,-1,55,46
2025-01-15T10:00,2449,1,47,2.3333333333332997,рывок,5,0,0,0,-1,-1,-1,64
2025-01-17T22:00,2507,-1,25,-2.261486939048997,рывок,4,0,0,0,-1,-1,-1,42
2025-01-21T15:00,2544,1,80,3.026402640263927,рывок,4,2,1,1,55,23,5,101
2025-01-27T19:00,2640,-1,20,-0.8031193032205921,рывок,4,0,0,0,-1,-1,-1,45
2025-01-29T09:00,2676,1,63,2.198672356567073,рывок,5,2,1,1,34,29,19,85
2025-02-04T05:00,2764,1,57,1.1130053580126482,пауза,4,1,0,1,-1,-1,23,80
2025-02-10T08:00,2859,1,103,-0.08208124652197485,рывок,4,2,1,1,61,38,21,140
2025-02-17T16:00,2982,-1,14,-0.2888135593220333,пауза,2,0,0,0,-1,-1,-1,41
2025-02-18T13:00,3000,1,119,-0.5745416810792344,рывок,5,4,2,2,1,40.0,20.0,129
