слой,раздел,показатель,значение,n
5/5,оба живы,однозначен,21.2%,10391
5/5,оба живы,оба здоровы,78.8%,10391
5/5,оба живы,оба больны,0.0%,10391
5/5,2 счёт восходящий,(1)->(2),+66.1 пп,539/58
5/5,2 счёт восходящий,(3)->(4),+48.8 пп,591/66
5/5,2 счёт нисходящий,(1)->(2),+62.4 пп,515/72
5/5,2 счёт нисходящий,(3)->(4),+60.8 пп,545/71
5/5,3 цена восходящий,больных баров,6.8%,31024
5/5,3 цена нисходящий,больных баров,7.6%,28016
5/5,4 вперёд,"10 баров, надбавка",+1.47,2208
5/5,4 вперёд,"20 баров, надбавка",+3.21,2208
5/5,4 вперёд,"40 баров, надбавка",+1.12,2208
3/3,оба живы,однозначен,22.9%,11842
3/3,оба живы,оба здоровы,77.1%,11842
3/3,оба живы,оба больны,0.0%,11842
3/3,2 счёт восходящий,(1)->(2),+55.8 пп,817/100
3/3,2 счёт восходящий,(2)->(3),+26.5 пп,745/32
3/3,2 счёт восходящий,(3)->(4),+51.6 пп,898/122
3/3,2 счёт восходящий,(4)->(5),+36.1 пп,814/34
3/3,2 счёт нисходящий,(1)->(2),+56.3 пп,797/115
3/3,2 счёт нисходящий,(2)->(3),+39.1 пп,695/39
3/3,2 счёт нисходящий,(3)->(4),+51.1 пп,841/118
3/3,2 счёт нисходящий,(4)->(5),+45.6 пп,729/34
3/3,3 цена восходящий,больных баров,7.3%,32106
3/3,3 цена нисходящий,больных баров,8.7%,28742
3/3,4 вперёд,"10 баров, надбавка",+0.39,2709
3/3,4 вперёд,"20 баров, надбавка",+1.39,2709
3/3,4 вперёд,"40 баров, надбавка",+1.08,2709
2/2,оба живы,однозначен,25.4%,11802
2/2,оба живы,оба здоровы,74.6%,11802
2/2,оба живы,оба больны,0.0%,11802
2/2,2 счёт восходящий,(1)->(2),+58.3 пп,1148/147
2/2,2 счёт восходящий,(2)->(3),+34.3 пп,1034/41
2/2,2 счёт восходящий,(3)->(4),+55.2 пп,1257/140
2/2,2 счёт восходящий,(4)->(5),+39.4 пп,1119/64
2/2,2 счёт нисходящий,(1)->(2),+59.1 пп,1124/163
2/2,2 счёт нисходящий,(2)->(3),+34.9 пп,987/48
2/2,2 счёт нисходящий,(3)->(4),+59.9 пп,1177/184
2/2,2 счёт нисходящий,(4)->(5),+31.6 пп,1013/47
2/2,3 цена восходящий,больных баров,8.1%,31757
2/2,3 цена нисходящий,больных баров,9.4%,29297
2/2,4 вперёд,"10 баров, надбавка",+0.48,2995
2/2,4 вперёд,"20 баров, надбавка",+1.17,2995
2/2,4 вперёд,"40 баров, надбавка",+1.06,2995
