слой,клетка отношения,сторона серии,длина серии,случаев,следующий туда же,"база клетки, %","надбавка, п.п."
5/5,вверх НАМНОГО ближе  r<0.5,вверх,1,352,272,76.9,0.4
5/5,вверх НАМНОГО ближе  r<0.5,вверх,2,258,192,76.9,-2.5
5/5,вверх НАМНОГО ближе  r<0.5,вверх,3,182,146,76.9,3.3
5/5,вверх НАМНОГО ближе  r<0.5,вверх,4,126,103,76.9,4.9
5/5,вверх НАМНОГО ближе  r<0.5,вверх,5,214,169,76.9,2.1
5/5,вверх НАМНОГО ближе  r<0.5,вниз,1,108,26,23.1,1.0
5/5,вверх ближе   0.5-0.8,вверх,1,170,105,62.9,-1.1
5/5,вверх ближе   0.5-0.8,вверх,2,89,65,62.9,10.2
5/5,вверх ближе   0.5-0.8,вверх,3,57,45,62.9,16.1
5/5,вверх ближе   0.5-0.8,вверх,5,53,35,62.9,3.2
5/5,вверх ближе   0.5-0.8,вниз,1,113,51,37.1,8.0
5/5,вверх ближе   0.5-0.8,вниз,2,44,20,37.1,8.3
5/5,РАВНО         0.8-1.25,вверх,1,106,58,47.5,7.2
5/5,РАВНО         0.8-1.25,вверх,2,65,33,47.5,3.3
5/5,РАВНО         0.8-1.25,вверх,5,65,41,47.5,15.6
5/5,РАВНО         0.8-1.25,вниз,1,141,82,52.5,5.7
5/5,РАВНО         0.8-1.25,вниз,2,77,48,52.5,9.9
5/5,РАВНО         0.8-1.25,вниз,3,51,30,52.5,6.3
5/5,РАВНО         0.8-1.25,вниз,5,46,27,52.5,6.2
5/5,вниз ближе    1.25-2.0,вверх,1,96,54,44.3,11.9
5/5,вниз ближе    1.25-2.0,вверх,2,47,26,44.3,11.0
5/5,вниз ближе    1.25-2.0,вниз,1,144,88,55.7,5.4
5/5,вниз ближе    1.25-2.0,вниз,2,88,55,55.7,6.8
5/5,вниз ближе    1.25-2.0,вниз,3,55,35,55.7,8.0
5/5,вниз ближе    1.25-2.0,вниз,5,62,34,55.7,-0.8
5/5,вниз НАМНОГО ближе  r>2,вверх,1,85,28,27.7,5.2
5/5,вниз НАМНОГО ближе  r>2,вниз,1,314,232,72.3,1.6
5/5,вниз НАМНОГО ближе  r>2,вниз,2,236,189,72.3,7.8
5/5,вниз НАМНОГО ближе  r>2,вниз,3,172,126,72.3,1.0
5/5,вниз НАМНОГО ближе  r>2,вниз,4,117,85,72.3,0.4
5/5,вниз НАМНОГО ближе  r>2,вниз,5,184,127,72.3,-3.3
3/3,вверх НАМНОГО ближе  r<0.5,вверх,1,528,422,75.2,4.7
3/3,вверх НАМНОГО ближе  r<0.5,вверх,2,364,262,75.2,-3.2
3/3,вверх НАМНОГО ближе  r<0.5,вверх,3,241,184,75.2,1.1
3/3,вверх НАМНОГО ближе  r<0.5,вверх,4,164,129,75.2,3.4
3/3,вверх НАМНОГО ближе  r<0.5,вверх,5,313,244,75.2,2.7
3/3,вверх НАМНОГО ближе  r<0.5,вниз,1,221,67,24.8,5.5
3/3,вверх НАМНОГО ближе  r<0.5,вниз,2,75,25,24.8,8.6
3/3,вверх НАМНОГО ближе  r<0.5,вниз,5,47,16,24.8,9.3
3/3,вверх ближе   0.5-0.8,вверх,1,246,156,59.0,4.4
3/3,вверх ближе   0.5-0.8,вверх,2,162,94,59.0,-1.0
3/3,вверх ближе   0.5-0.8,вверх,3,89,54,59.0,1.6
3/3,вверх ближе   0.5-0.8,вверх,4,46,34,59.0,14.9
3/3,вверх ближе   0.5-0.8,вверх,5,94,63,59.0,8.0
3/3,вверх ближе   0.5-0.8,вниз,1,184,88,41.0,6.9
3/3,вверх ближе   0.5-0.8,вниз,2,78,37,41.0,6.5
3/3,вверх ближе   0.5-0.8,вниз,3,52,21,41.0,-0.6
3/3,вверх ближе   0.5-0.8,вниз,5,50,25,41.0,9.0
3/3,РАВНО         0.8-1.25,вверх,1,190,100,50.0,2.6
3/3,РАВНО         0.8-1.25,вверх,2,117,60,50.0,1.2
3/3,РАВНО         0.8-1.25,вверх,3,55,29,50.0,2.7
3/3,РАВНО         0.8-1.25,вверх,5,81,56,50.0,19.1
3/3,РАВНО         0.8-1.25,вниз,1,226,126,50.0,5.8
3/3,РАВНО         0.8-1.25,вниз,2,136,76,50.0,5.9
3/3,РАВНО         0.8-1.25,вниз,3,76,46,50.0,10.6
3/3,РАВНО         0.8-1.25,вниз,5,55,25,50.0,-4.5
3/3,вниз ближе    1.25-2.0,вверх,1,157,81,42.7,8.9
3/3,вниз ближе    1.25-2.0,вверх,2,80,42,42.7,9.8
3/3,вниз ближе    1.25-2.0,вверх,3,43,23,42.7,10.7
3/3,вниз ближе    1.25-2.0,вверх,5,62,26,42.7,-0.8
3/3,вниз ближе    1.25-2.0,вниз,1,220,127,57.3,0.5
3/3,вниз ближе    1.25-2.0,вниз,2,149,98,57.3,8.5
3/3,вниз ближе    1.25-2.0,вниз,3,77,52,57.3,10.3
3/3,вниз ближе    1.25-2.0,вниз,4,51,33,57.3,7.4
3/3,вниз ближе    1.25-2.0,вниз,5,103,64,57.3,4.9
3/3,вниз НАМНОГО ближе  r>2,вверх,1,173,71,30.5,10.5
3/3,вниз НАМНОГО ближе  r>2,вверх,2,72,29,30.5,9.8
3/3,вниз НАМНОГО ближе  r>2,вверх,3,42,17,30.5,9.9
3/3,вниз НАМНОГО ближе  r>2,вверх,5,41,25,30.5,30.4
3/3,вниз НАМНОГО ближе  r>2,вниз,1,485,344,69.5,1.5
3/3,вниз НАМНОГО ближе  r>2,вниз,2,322,232,69.5,2.6
3/3,вниз НАМНОГО ближе  r>2,вниз,3,227,172,69.5,6.3
3/3,вниз НАМНОГО ближе  r>2,вниз,4,166,124,69.5,5.2
3/3,вниз НАМНОГО ближе  r>2,вниз,5,247,175,69.5,1.4
2/2,вверх НАМНОГО ближе  r<0.5,вверх,1,678,519,72.8,3.7
2/2,вверх НАМНОГО ближе  r<0.5,вверх,2,448,348,72.8,4.9
2/2,вверх НАМНОГО ближе  r<0.5,вверх,3,311,230,72.8,1.2
