№,последовательность,встречных,низы,5/5 n,5/5 доля%,5/5 ход%,5/5 провал%,5/5 после+%,5/5 после-%,3/3 n,3/3 доля%,3/3 ход%,3/3 провал%,3/3 после+%,3/3 после-%,2/2 n,2/2 доля%,2/2 ход%,2/2 провал%,2/2 после+%,2/2 после-%
П1,LH·HL·HH·HL·HH,1,HL,99,8.43,2.332,0.0,0.611,0.937,134,7.4,1.618,0.0,0.675,0.89,187,7.24,1.422,0.0,0.699,0.909
П2,LH·LL·LH·HL·HH,3,мкс,101,8.6,1.011,0.557,0.534,0.928,123,6.8,0.736,0.572,0.611,0.94,179,6.93,0.641,0.468,0.67,0.937
П3,LH·HL·HH·LL·LH,3,мкс,67,5.7,1.252,0.243,0.54,1.083,106,5.86,0.977,0.253,0.511,0.883,138,5.34,0.837,0.108,0.636,0.88
П4,LH·LL·LH·LL·LH,5,LL,71,6.04,0.616,1.41,0.615,1.023,96,5.3,0.491,1.304,0.817,0.841,143,5.54,0.431,1.108,0.767,0.901
П5,LH·HL·HH·HL·LH,2,HL,74,6.3,1.576,0.0,0.48,1.11,95,5.25,1.491,0.0,0.752,0.87,114,4.42,1.154,0.0,0.661,0.918
П6,HH·HL·HH·HL·HH,0,HL,58,4.94,2.431,0.0,0.587,1.001,97,5.36,2.078,0.0,0.602,0.992,127,4.92,1.973,0.0,0.576,1.06
П7,LH·LL·HH·HL·HH,2,мкс,58,4.94,1.52,0.257,0.702,0.914,84,4.64,1.297,0.209,0.526,0.97,124,4.8,1.13,0.186,0.51,1.021
П8,HH·HL·LH·LL·LH,3,мкс,50,4.26,1.364,0.099,0.432,1.139,77,4.25,1.122,0.0,0.657,0.8,119,4.61,1.079,0.0,0.611,0.858
П9,LH·LL·HH·HL·LH,3,мкс,46,3.91,1.094,0.261,0.725,0.786,82,4.53,1.003,0.197,0.725,0.885,103,3.99,0.829,0.234,0.726,0.781
П10,HH·HL·LH·LL·HH,2,мкс,41,3.49,1.712,0.0,0.651,0.794,81,4.48,1.447,0.0,0.61,0.88,104,4.03,1.369,0.0,0.72,0.739
П11,LH·HL·LH·LL·LH,4,мкс,42,3.57,1.382,0.375,0.465,0.978,71,3.92,0.804,0.271,0.753,0.783,103,3.99,0.748,0.119,0.841,0.927
П12,HH·HL·HH·HL·LH,1,HL,44,3.74,2.357,0.0,0.639,1.096,65,3.59,2.066,0.0,0.453,0.988,104,4.03,1.591,0.0,0.657,0.809
П13,LH·LL·LH·LL·HH,4,LL,47,4.0,0.765,0.81,0.554,1.055,68,3.76,0.696,0.713,0.726,0.954,86,3.33,0.545,0.572,0.696,0.868
П14,HH·HL·HH·LL·LH,2,мкс,44,3.74,1.641,0.0,0.591,1.014,66,3.65,1.554,0.0,0.562,0.968,88,3.41,1.303,0.0,0.567,1.097
П15,LH·HL·LH·LL·HH,3,мкс,45,3.83,1.272,0.12,0.45,1.069,60,3.31,1.086,0.012,0.77,0.977,91,3.52,0.936,0.0,0.714,0.873
П16,HH·HL·LH·HL·HH,1,HL,30,2.55,2.043,0.0,0.324,1.191,69,3.81,1.567,0.0,0.73,1.134,94,3.64,1.231,0.0,0.804,0.823
П17,LH·HL·HH·LL·HH,2,мкс,27,2.3,1.402,0.0,0.753,0.912,61,3.37,1.045,0.0,0.452,0.897,87,3.37,0.988,0.0,0.649,0.808
П18,LH·LL·LH·HL·LH,4,мкс,39,3.32,0.76,0.872,0.729,1.063,50,2.76,0.551,0.841,0.789,1.067,80,3.1,0.474,0.646,0.766,0.983
П19,HH·LL·LH·HL·HH,2,мкс,33,2.81,1.299,0.444,0.507,0.943,47,2.6,1.048,0.367,0.614,0.795,82,3.18,0.793,0.374,0.578,0.74
П20,LH·HL·LH·HL·HH,2,HL,28,2.38,1.648,0.0,0.552,1.141,39,2.15,1.328,0.0,0.655,0.882,63,2.44,1.02,0.0,0.68,1.006
П21,HH·LL·LH·LL·LH,4,LL,28,2.38,0.963,1.286,0.622,1.076,38,2.1,0.742,0.991,0.559,1.141,56,2.17,0.634,0.723,0.633,0.949
П22,LH·LL·HH·LL·LH,4,LL,22,1.87,0.839,0.886,0.615,1.2,31,1.71,0.697,0.577,0.73,0.882,51,1.98,0.54,0.524,0.629,0.695
П23,HH·HL·HH·LL·HH,1,мкс,21,1.79,2.176,0.0,0.886,0.991,34,1.88,1.503,0.0,0.496,1.115,33,1.28,1.41,0.0,0.444,0.986
П24,HH·LL·LH·HL·LH,3,мкс,12,1.02,1.37,0.386,0.58,0.728,24,1.33,1.066,0.523,0.645,1.002,46,1.78,0.763,0.434,0.706,0.683
П25,HH·HL·LH·HL·LH,2,HL,13,1.11,1.541,0.0,0.936,0.933,31,1.71,1.254,0.0,0.585,0.957,37,1.43,1.02,0.0,0.487,1.012
П26,HH·LL·LH·LL·HH,3,LL,11,0.94,1.079,0.671,0.511,0.949,20,1.1,0.723,0.646,0.401,0.872,36,1.39,0.585,0.462,0.606,0.82
П27,HH·LL·HH·HL·HH,1,мкс,10,0.85,1.826,0.203,0.396,1.188,18,0.99,1.413,0.147,0.375,1.175,24,0.93,1.387,0.145,0.486,0.99
П28,HH·LL·HH·HL·LH,2,мкс,5,0.43,1.805,0.209,0.098,1.495,14,0.77,0.955,0.247,1.197,0.552,27,1.05,0.874,0.165,0.808,0.655
П29,LH·HL·LH·HL·LH,3,HL,2,0.17,1.593,0.0,0.06,1.612,12,0.66,1.081,0.0,0.554,1.174,26,1.01,1.034,0.0,0.922,0.983
П30,LH·LL·HH·LL·HH,3,LL,4,0.34,1.081,0.307,0.787,0.571,13,0.72,0.843,0.369,0.605,0.774,21,0.81,0.738,0.458,0.431,1.176
П31,HH·LL·HH·LL·LH,3,LL,1,0.09,1.621,1.432,3.063,0.841,4,0.22,0.713,0.806,0.733,0.835,9,0.35,0.486,0.817,1.039,0.447
П32,HH·LL·HH·LL·HH,2,LL,2,0.17,2.063,0.364,0.654,1.241,,,,,,,,,,,,
