направление,номер,последовательность,слой,вид,сколько раз
восходящий,П1,LH·HL·HH·HL·HH,5/5,рождение,100
восходящий,П1,LH·HL·HH·HL·HH,5/5,продолжение,51
восходящий,П1,LH·HL·HH·HL·HH,3/3,рождение,133
восходящий,П1,LH·HL·HH·HL·HH,3/3,продолжение,64
восходящий,П1,LH·HL·HH·HL·HH,2/2,рождение,187
восходящий,П1,LH·HL·HH·HL·HH,2/2,продолжение,113
восходящий,П5,LH·HL·HH·HL·LH,5/5,рождение,73
восходящий,П5,LH·HL·HH·HL·LH,5/5,продолжение,29
восходящий,П5,LH·HL·HH·HL·LH,3/3,рождение,95
восходящий,П5,LH·HL·HH·HL·LH,3/3,продолжение,39
восходящий,П5,LH·HL·HH·HL·LH,2/2,рождение,116
восходящий,П5,LH·HL·HH·HL·LH,2/2,продолжение,60
восходящий,П6,HH·HL·HH·HL·HH,5/5,рождение,59
восходящий,П6,HH·HL·HH·HL·HH,5/5,продолжение,137
восходящий,П6,HH·HL·HH·HL·HH,3/3,рождение,96
восходящий,П6,HH·HL·HH·HL·HH,3/3,продолжение,157
восходящий,П6,HH·HL·HH·HL·HH,2/2,рождение,129
восходящий,П6,HH·HL·HH·HL·HH,2/2,продолжение,208
восходящий,П12,HH·HL·HH·HL·LH,5/5,рождение,44
восходящий,П12,HH·HL·HH·HL·LH,5/5,продолжение,92
восходящий,П12,HH·HL·HH·HL·LH,3/3,рождение,67
восходящий,П12,HH·HL·HH·HL·LH,3/3,продолжение,118
восходящий,П12,HH·HL·HH·HL·LH,2/2,рождение,104
восходящий,П12,HH·HL·HH·HL·LH,2/2,продолжение,166
восходящий,П16,HH·HL·LH·HL·HH,5/5,рождение,30
восходящий,П16,HH·HL·LH·HL·HH,5/5,продолжение,65
восходящий,П16,HH·HL·LH·HL·HH,3/3,рождение,71
восходящий,П16,HH·HL·LH·HL·HH,3/3,продолжение,87
восходящий,П16,HH·HL·LH·HL·HH,2/2,рождение,96
восходящий,П16,HH·HL·LH·HL·HH,2/2,продолжение,135
восходящий,П20,LH·HL·LH·HL·HH,5/5,рождение,29
восходящий,П20,LH·HL·LH·HL·HH,5/5,продолжение,3
восходящий,П20,LH·HL·LH·HL·HH,3/3,рождение,38
восходящий,П20,LH·HL·LH·HL·HH,3/3,продолжение,7
восходящий,П20,LH·HL·LH·HL·HH,2/2,рождение,64
восходящий,П20,LH·HL·LH·HL·HH,2/2,продолжение,17
восходящий,П25,HH·HL·LH·HL·LH,5/5,рождение,12
восходящий,П25,HH·HL·LH·HL·LH,5/5,продолжение,15
восходящий,П25,HH·HL·LH·HL·LH,3/3,рождение,31
восходящий,П25,HH·HL·LH·HL·LH,3/3,продолжение,24
восходящий,П25,HH·HL·LH·HL·LH,2/2,рождение,39
восходящий,П25,HH·HL·LH·HL·LH,2/2,продолжение,34
восходящий,П29,LH·HL·LH·HL·LH,5/5,рождение,2
восходящий,П29,LH·HL·LH·HL·LH,5/5,продолжение,1
восходящий,П29,LH·HL·LH·HL·LH,3/3,рождение,13
восходящий,П29,LH·HL·LH·HL·LH,3/3,продолжение,9
восходящий,П29,LH·HL·LH·HL·LH,2/2,рождение,26
восходящий,П29,LH·HL·LH·HL·LH,2/2,продолжение,3
нисходящий,?,HL·LH·LL·LH·LL,5/5,рождение,81
нисходящий,?,HL·LH·LL·LH·LL,5/5,продолжение,31
нисходящий,?,HL·LH·LL·LH·LL,3/3,рождение,100
нисходящий,?,HL·LH·LL·LH·LL,3/3,продолжение,52
нисходящий,?,HL·LH·LL·LH·LL,2/2,рождение,153
нисходящий,?,HL·LH·LL·LH·LL,2/2,продолжение,77
нисходящий,?,HL·LH·LL·LH·HL,5/5,рождение,65
нисходящий,?,HL·LH·LL·LH·HL,5/5,продолжение,28
нисходящий,?,HL·LH·LL·LH·HL,3/3,рождение,91
нисходящий,?,HL·LH·LL·LH·HL,3/3,продолжение,53
нисходящий,?,HL·LH·LL·LH·HL,2/2,рождение,107
нисходящий,?,HL·LH·LL·LH·HL,2/2,продолжение,59
нисходящий,?,LL·LH·LL·LH·LL,5/5,рождение,45
нисходящий,?,LL·LH·LL·LH·LL,5/5,продолжение,72
нисходящий,?,LL·LH·LL·LH·LL,3/3,рождение,73
нисходящий,?,LL·LH·LL·LH·LL,3/3,продолжение,90
нисходящий,?,LL·LH·LL·LH·LL,2/2,рождение,105
нисходящий,?,LL·LH·LL·LH·LL,2/2,продолжение,121
нисходящий,?,LL·LH·LL·LH·HL,5/5,рождение,61
нисходящий,?,LL·LH·LL·LH·HL,5/5,продолжение,79
нисходящий,?,LL·LH·LL·LH·HL,3/3,рождение,73
нисходящий,?,LL·LH·LL·LH·HL,3/3,продолжение,100
нисходящий,?,LL·LH·LL·LH·HL,2/2,рождение,104
нисходящий,?,LL·LH·LL·LH·HL,2/2,продолжение,157
нисходящий,?,LL·LH·HL·LH·LL,5/5,рождение,41
нисходящий,?,LL·LH·HL·LH·LL,5/5,продолжение,49
нисходящий,?,LL·LH·HL·LH·LL,3/3,рождение,68
нисходящий,?,LL·LH·HL·LH·LL,3/3,продолжение,65
нисходящий,?,LL·LH·HL·LH·LL,2/2,рождение,103
нисходящий,?,LL·LH·HL·LH·LL,2/2,продолжение,94
нисходящий,?,HL·LH·HL·LH·LL,5/5,рождение,23
нисходящий,?,HL·LH·HL·LH·LL,5/5,продолжение,3
нисходящий,?,HL·LH·HL·LH·LL,3/3,рождение,43
нисходящий,?,HL·LH·HL·LH·LL,3/3,продолжение,19
нисходящий,?,HL·LH·HL·LH·LL,2/2,рождение,63
нисходящий,?,HL·LH·HL·LH·LL,2/2,продолжение,19
нисходящий,?,LL·LH·HL·LH·HL,5/5,рождение,15
нисходящий,?,LL·LH·HL·LH·HL,5/5,продолжение,16
нисходящий,?,LL·LH·HL·LH·HL,3/3,рождение,26
нисходящий,?,LL·LH·HL·LH·HL,3/3,продолжение,26
нисходящий,?,LL·LH·HL·LH·HL,2/2,рождение,43
нисходящий,?,LL·LH·HL·LH·HL,2/2,продолжение,47
нисходящий,?,HL·LH·HL·LH·HL,5/5,рождение,4
нисходящий,?,HL·LH·HL·LH·HL,5/5,продолжение,0
нисходящий,?,HL·LH·HL·LH·HL,3/3,рождение,12
нисходящий,?,HL·LH·HL·LH·HL,3/3,продолжение,4
нисходящий,?,HL·LH·HL·LH·HL,2/2,рождение,10
нисходящий,?,HL·LH·HL·LH·HL,2/2,продолжение,10
