dir,tStart,start,end,dur,born,prov,pStart,pEnd,imp,moveImp,addImp,mfeImp,maxKN,kn20,knees,mud,mud20,zeroBar,deathLvl
-1,2026-05-25T12:00,22,28,6,первый,False,4557.19,4565.285,11.74499999999989,-0.6892294593444299,-0.6926274217282036,0.1932737335035801,2,2,3,0,0,8,4558.83
1,2026-05-25T13:35,41,58,17,рывок,True,4570.98,4564.645,3.9099999999998545,-1.6202046035803996,-1.591418864564839,1.569053708440012,3,3,2,2,2,24,4568.47
-1,2026-05-25T15:50,68,83,15,пауза,False,4566.845,4569.785,17.289999999999964,-0.17004048582993672,-0.17584345864538223,0.38606130711395004,2,2,4,1,1,55,4565.75
1,2026-05-25T17:45,91,127,36,пауза,False,4568.365,4565.12,5.454999999999927,-0.5948670944087872,-0.5519324644723436,1.7781851512373872,4,4,6,2,1,79,4568.68
-1,2026-05-25T21:20,134,139,5,пауза,False,4568.005,4574.205,8.6850000000004,-0.7138744962578621,-0.7176870765906951,0.04778353483016056,2,2,2,0,0,120,4572.05
1,2026-05-26T01:50,146,154,8,рывок,False,4576.335,4561.06,4.460000000000036,-3.424887892376572,-3.412831043230177,0.876681614349736,2,2,2,0,0,135,4569.68
-1,2026-05-26T03:05,161,202,41,пауза,False,4549.71,4544.48,7.649999999999636,0.6836601307190486,0.6483373896774881,2.855555555555725,4,3,4,1,0,151,4539.75
-1,2026-05-26T08:25,225,255,30,пауза,False,4531.4,4538.365,8.63000000000011,-0.8070683661645489,-0.8295396891519982,1.1263035921204196,3,2,8,1,1,203,4531.39
-1,2026-05-26T12:00,268,284,16,пауза,False,4524.57,4531.845,7.4650000000001455,-0.9745478901541064,-0.9887888041384244,1.6744809109175829,2,2,4,0,0,255,4526.665
1,2026-05-26T13:55,291,296,5,пауза,False,4534.46,4525.87,7.610000000000582,-1.1287779237844269,-1.1244267726424224,0.25558475689875954,3,3,2,0,0,276,4531.445
-1,2026-05-26T15:30,310,314,4,пауза,False,4510.515,4522.485,12.550000000000182,-0.953784860557703,-0.9558919738937519,0.775298804780903,3,3,2,0,0,290,4516.165
1,2026-05-26T16:25,321,330,9,пауза,False,4522.515,4511.015,10.159999999999854,-1.1318897637795438,-1.1258854923267554,0.8818897637795438,3,3,2,0,0,310,4516.225
-1,2026-05-26T17:50,338,397,59,пауза,False,4516.045,4507.615,17.199999999999818,0.49011627906978955,0.4665022117606156,1.9433139534884032,5,5,8,1,0,324,4498.5
1,2026-05-27T01:25,417,455,38,рывок,False,4504.305,4512.16,10.340000000000146,0.7596711798838929,0.7837101575022062,2.296421663442897,4,3,9,1,0,377,4517.265
1,2026-05-27T06:50,482,483,1,пауза,False,4502.475,4497.325,10.31500000000051,-0.49927290353856435,-0.4986265310065682,0.2370334464371874,0,0,0,0,1,479,4501.78
1,2026-05-27T08:00,496,510,14,пауза,False,4513.74,4494.01,19.470000000000255,-1.0133538777606217,-1.0085137510551705,0.010272213662034693,2,2,3,0,0,490,4497.905
-1,2026-05-27T09:15,511,540,29,рывок,False,4489.49,4496.24,10.579999999999927,-0.6379962192816679,-0.6557264919198549,1.2764650283554067,4,4,6,0,0,493,4489.43
1,2026-05-27T11:50,542,556,14,рывок,False,4498.295,4486.645,6.849999999999454,-1.7007299270073817,-1.6869726617584557,0.08029197080295265,4,4,4,0,0,530,4488.94
-1,2026-05-27T13:10,558,584,26,рывок,False,4485.565,4454.99,6.505000000000109,4.700230591852314,4.674246809204377,9.288239815526234,5,3,4,2,1,548,4444.79
-1,2026-05-27T17:25,609,633,24,пауза,False,4445.54,4446.955,54.024999999999636,-0.026191577973160077,-0.02909942738516564,0.3207774178621017,2,2,4,1,1,584,4441.64
