dir,tStart,start,end,dur,born,prov,pStart,pEnd,imp,moveImp,addImp,mfeImp,maxKN,kn20,knees,mud,mud20,zeroBar,deathLvl
-1,2017-07-26 23:00,19,55,36,первый,False,1260.3525,1263.67,19.798999999999978,-0.1675589676246332,-0.0639622867029197,0.29135309864134096,2,1,9,1,1,3,1260.606
1,2017-07-31 01:00,67,124,57,пауза,False,1268.3395,1264.714,13.01299999999992,-0.2786060093752497,-0.5237742229706005,0.4506647198954848,2,2,9,2,2,54,1267.148
-1,2017-08-03 18:00,153,206,53,пауза,False,1268.879,1260.4975,13.601999999999862,0.6161961476253526,0.8349368781896592,1.0739597118070943,2,2,10,2,1,129,1259.13
1,2017-08-08 08:00,212,218,6,рывок,True,1260.727,1253.5925,2.9629999999999654,-2.407863651704421,-2.526596893887182,1.5588930138373163,5,5,2,0,0,193,1259.222
-1,2017-08-08 23:00,226,234,8,пауза,False,1262.028,1268.1215,11.440000000000055,-0.5326486013985944,-0.4916412300088155,0.062325174825171505,1,1,0,0,0,223,1263.054
1,2017-08-10 04:00,254,303,49,рывок,False,1276.959,1283.2045,4.04300000000012,1.5447687360870164,0.8623619938789173,3.807815978233867,5,3,7,2,0,219,1285.472
-1,2017-08-14 17:00,313,359,46,рывок,True,1280.705,1276.661,4.189000000000078,0.9653855335401751,1.5853407918342126,3.1768918596323092,5,4,8,3,1,299,1274.152
1,2017-08-17 17:00,382,455,73,пауза,False,1285.012,1284.021,8.999000000000024,-0.11012334703855793,-0.5616060750005463,1.7684187131903484,2,2,9,5,0,355,1287.43
-1,2017-08-22 23:00,456,476,20,рывок,True,1283.3165,1290.301,8.082000000000107,-0.8642044048502763,-0.721344171780172,0.05970056916602808,2,2,2,0,0,447,1287.43
1,2017-08-24 17:00,497,516,19,пауза,False,1286.4805,1280.801,5.367999999999938,-1.0580290611028367,-1.2626681321500899,0.3993107302533822,2,2,3,1,1,488,1285.962
1,2017-08-25 14:00,517,596,79,рывок,True,1290.455,1303.033,2.6620000000000346,4.7250187828699515,3.0730351729627685,13.40232907588267,2,1,9,4,2,509,1306.368
