layer,dir,tStart,start,end,dur,born,prov,pStart,pEnd,imp,moveImp,mfeImp,maxKN,knees,mud,zeroBar,deathLvl
5/5,-1,2024-08-16T11:00,21,66,45,первый,False,2462.435,2514.985,10.870000000000346,-4.834406623734914,0.3022079116835097,2,6,1,9,2507.225
5/5,1,2024-08-20T15:00,71,118,47,рывок,False,2526.78,2487.955,10.875,-3.5701149425287606,0.45839080459767106,4,5,1,49,2499.35
5/5,-1,2024-08-22T23:00,125,142,17,рывок,True,2484.72,2509.225,25.355000000000018,-0.9664760402287553,0.08499309800827229,3,0,0,84,2499.35
5/5,1,2024-08-26T19:00,167,208,41,пауза,False,2520.305,2501.515,18.090000000000146,-1.0386954118297298,0.4881149806523113,2,5,0,156,2510.68
5/5,-1,2024-08-30T02:00,242,340,98,пауза,False,2519.63,2506.51,35.07499999999982,0.3740555951532419,1.3603706343549649,5,13,0,196,2496.985
5/5,1,2024-09-05T13:00,343,372,29,рывок,False,2516.38,2489.11,6.464999999999691,-4.218097447796023,1.9984532095902074,2,2,1,337,2503.965
5/5,-1,2024-09-09T11:00,387,398,11,пауза,False,2492.245,2506.055,15.400000000000091,-0.8967532467532379,0.13701298701296494,2,2,0,368,2500.59
5/5,1,2024-09-10T15:00,414,532,118,рывок,True,2513.905,2565.675,14.980000000000018,3.45594125500667,5.060747663551392,4,7,3,385,2575.245
5/5,-1,2024-09-18T08:00,545,592,47,рывок,True,2567.78,2605.545,14.16000000000031,-2.6670197740112322,1.4774011299434757,2,8,1,507,2592.735
5/5,1,2024-09-23T01:00,607,718,111,пауза,False,2620.485,2645.22,40.914999999999964,0.6045460100207674,1.5924477575461273,3,15,3,587,2654.84
5/5,-1,2024-09-30T08:00,729,821,92,пауза,False,2657.915,2667.42,22.894999999999982,-0.4151561476304921,1.4472592269054287,4,10,1,697,2662.2
5/5,1,2024-10-07T14:00,850,869,19,пауза,False,2657.025,2634.045,30.49499999999989,-0.753566158386624,0.08640760780455067,2,4,0,828,2639.745
5/5,-1,2024-10-08T17:00,876,927,51,рывок,True,2621.12,2629.21,11.490000000000236,-0.7040905134899895,1.4560487380330438,3,6,1,850,2622.465
5/5,1,2024-10-11T17:00,945,1129,184,пауза,False,2653.135,2717.805,11.0,5.879090909090874,9.58090909090908,5,18,3,920,2737.94
5/5,-1,2024-10-24T21:00,1156,1208,52,пауза,False,2735.605,2752.165,34.56999999999971,-0.4790280590107054,0.5352907144923421,2,7,1,1151,2744.65
5/5,1,2024-10-29T04:00,1209,1266,57,рывок,True,2753.11,2755.43,16.720000000000255,0.1387559808612245,2.216507177033456,5,6,1,1194,2770.925
5/5,-1,2024-11-01T13:00,1287,1529,242,пауза,False,2752.99,2587.13,26.09999999999991,6.354789272030661,8.28103448275864,5,26,4,1254,2576.045
5/5,1,2024-11-18T10:00,1536,1648,112,рывок,True,2585.705,2664.795,16.519999999999982,4.78753026634384,8.215193704600502,5,9,2,1523,2684.495
5/5,-1,2024-11-25T18:00,1659,1694,35,пауза,False,2632.015,2642.09,30.61999999999989,-0.3290333115610813,0.8721423905943835,2,4,0,1654,2632.225
5/5,1,2024-11-27T08:00,1695,1754,59,рывок,True,2647.845,2637.525,21.36499999999978,-0.48303299789374277,0.8661362040720945,2,5,2,1673,2654.59
5/5,-1,2024-12-02T22:00,1774,1878,104,рывок,False,2637.155,2655.685,29.925000000000182,-0.6192147034252174,0.8035087719298221,2,9,6,1739,2645.73
5/5,1,2024-12-09T12:00,1879,1952,73,рывок,True,2657.595,2686.46,21.59999999999991,1.3363425925926091,3.1805555555555816,4,9,1,1860,2700.81
5/5,-1,2024-12-12T23:00,1959,2105,146,рывок,True,2680.825,2631.66,19.710000000000036,2.494419076610851,4.916793505834585,4,13,3,1945,2626.44
5/5,-1,2024-12-24T12:00,2132,2143,11,пауза,False,2615.57,2626.77,13.274999999999636,-0.843691148775904,0.4116760828625458,2,1,0,2106,2621.535
5/5,1,2024-12-26T23:00,2163,2174,11,рывок,True,2633.865,2624.12,11.429999999999836,-0.8525809273840796,0.3880139982502593,2,1,0,2137,2628.99
5/5,-1,2024-12-27T21:00,2184,2226,42,пауза,False,2620.77,2625.83,26.585000000000036,-0.1903328944893714,0.9247696069211963,4,6,2,2172,2611.61
5/5,-1,2025-01-06T15:00,2293,2296,3,рывок,True,2624.38,2640.815,10.784999999999854,-1.5238757533611653,0.90356977283264,1,1,0,2281,2636.705
5/5,1,2025-01-08T11:00,2335,2407,72,пауза,False,2653.605,2671.33,18.960000000000036,0.9348628691983056,2.3388713080168624,5,8,2,2294,2679.315
5/5,-1,2025-01-14T04:00,2420,2447,27,рывок,True,2670.515,2681.055,12.009999999999764,-0.8776019983347353,0.8846794338051798,2,3,0,2401,2675.365
5/5,1,2025-01-15T10:00,2449,2496,47,рывок,False,2684.06,2705.13,9.0300000000002,2.3333333333332997,4.509966777408528,5,7,0,2432,2709.965
5/5,-1,2025-01-17T22:00,2507,2532,25,рывок,True,2701.128,2718.01,7.464999999999691,-2.261486939048997,1.574413931681265,4,3,0,2490,2713.885
5/5,1,2025-01-21T15:00,2544,2624,80,рывок,True,2726.355,2763.035,12.120000000000346,3.026402640263927,4.9261551155114045,4,6,2,2523,2770.18
5/5,-1,2025-01-27T19:00,2640,2660,20,рывок,False,2733.865,2753.69,24.684999999999945,-0.8031193032205921,0.13388697589628695,4,3,0,2615,2745.36
5/5,1,2025-01-29T09:00,2676,2739,63,рывок,True,2759.09,2782.275,10.545000000000073,2.198672356567073,5.51209103840679,5,7,2,2654,2791.07
5/5,1,2025-02-04T05:00,2764,2821,57,пауза,False,2821.44,2842.005,18.477000000000317,1.1130053580126482,3.294365968501318,4,9,1,2741,2859.975
5/5,1,2025-02-10T08:00,2859,2962,103,рывок,True,2888.505,2887.03,17.970000000000255,-0.08208124652197485,3.020311630495232,4,7,4,2822,2905.885
5/5,-1,2025-02-17T16:00,2982,2996,14,пауза,False,2903.08,2911.6,29.5,-0.2888135593220333,0.37322033898304285,2,2,1,2955,2906.525
5/5,1,2025-02-18T13:00,3000,3119,119,рывок,True,2914.32,2906.015,14.454999999999927,-0.5745416810792344,2.9048772051193352,5,13,1,2990,2930.81
5/5,-1,2025-02-26T01:00,3126,3211,85,рывок,True,2918.63,2887.925,22.615000000000236,1.3577271722308029,3.7988061021445683,2,6,2,3103,2876.85
5/5,1,2025-03-04T06:00,3223,3328,105,рывок,True,2891.37,2895.975,17.84999999999991,0.2579831932773133,2.1943977591036568,2,13,3,3204,2902.065
5/5,-1,2025-03-10T19:00,3329,3343,14,рывок,True,2886.135,2910.01,16.320000000000164,-1.4629289215686128,0.3606004901960882,1,1,1,3313,2902.065
5/5,1,2025-03-12T08:00,3364,3532,168,пауза,False,2911.95,3006.655,11.324999999999818,8.362472406181183,12.86004415011061,4,17,4,3336,3025.73
5/5,1,2025-03-28T15:00,3647,3695,48,пауза,False,3083.36,3113.79,19.945000000000164,1.5256956630734313,3.2955627976936315,5,6,1,3603,3124.105
5/5,-1,2025-04-03T05:00,3728,3729,1,пауза,False,3145.255,3148.175,29.159999999999854,-0.10013717421125128,0.09945130315501047,1,1,0,3711,3133.95
5/5,-1,2025-04-03T22:00,3745,3825,80,пауза,False,3107.55,3041.045,81.47499999999991,0.8162626572568294,1.853145136544956,4,8,1,3725,3022.76
5/5,1,2025-04-10T14:00,3852,3902,50,рывок,True,3124.805,3198.15,52.79000000000042,1.3893729873081961,2.29285849592724,5,4,0,3817,3213.355
