тренд №,блок,тип блока,дата начала (0),дата конца (5),последовательность,№ посл.,подпись нуля,цена (0),цена (1),цена (2),цена (3),цена (4),цена (5),ход блока %,ход тренда от рождения %,баров,что после (5)
1,1,рождение,2017-08-04 14:00,2017-08-08 02:00,LH·HL·HH·HL·HH,П1,LL,1254.27,1259.64,1255.83,1260.04,1257.08,1261.05,0.54,0.54,34,HL
2,1,рождение,2017-08-15 13:00,2017-08-17 23:00,LH·HL·HH·HL·LH,П5,LL,1267.4,1275.18,1267.73,1290.25,1281.25,1289.46,1.8,1.8,55,HL
3,1,рождение,2017-08-22 14:00,2017-08-25 13:00,HH·HL·LH·HL·HH,П16,LL,1282.05,1291.6,1284.49,1290.25,1284.88,1295.15,1.02,1.02,68,LL
4,1,рождение,2017-08-25 13:00,2017-08-30 10:00,HH·HL·LH·HL·HH,П16,LL,1276.2,1326.13,1305.06,1313.53,1306.37,1313.78,3.91,3.91,66,LL
5,1,рождение,2017-10-03 01:00,2017-10-04 12:00,LH·HL·HH·HL·HH,П1,LL,1268.42,1272.55,1269.31,1274.78,1270.65,1282.32,1.1,1.1,34,LL
6,1,рождение,2017-10-06 13:00,2017-10-11 12:00,HH·HL·HH·HL·LH,П12,LL,1260.67,1285.59,1279.46,1294.31,1286.74,1291.41,2.67,2.67,68,LL
7,1,рождение,2017-10-11 17:00,2017-10-16 00:00,HH·HL·HH·HL·HH,П6,LL,1284.64,1297.57,1289.71,1298.52,1291.08,1304.69,1.56,1.56,52,HL
8,1,рождение,2017-10-27 12:00,2017-10-31 06:00,LH·HL·HH·HL·LH,П5,LL,1263.58,1274.71,1269.0,1278.89,1274.95,1278.24,1.21,1.21,40,LL
9,1,рождение,2017-10-31 14:00,2017-11-02 01:00,LH·HL·HH·HL·HH,П1,LL,1267.84,1272.06,1267.99,1280.92,1272.38,1281.53,1.08,1.08,33,HL
10,1,рождение,2017-11-03 15:00,2017-11-07 14:00,LH·HL·HH·HL·LH,П5,LL,1265.53,1271.19,1266.17,1283.08,1275.3,1280.13,1.39,1.39,44,LL
11,1,рождение,2017-11-07 15:00,2017-11-09 20:00,HH·HL·HH·HL·HH,П6,LL,1271.97,1287.26,1280.06,1288.28,1281.99,1288.74,1.32,1.32,51,HL
12,1,рождение,2017-11-14 08:00,2017-11-17 02:00,HH·HL·LH·HL·HH,П16,LL,1270.12,1289.61,1275.17,1281.88,1276.41,1284.08,1.53,1.53,63,HL
13,1,рождение,2017-11-20 18:00,2017-11-22 19:00,LH·HL·HH·HL·HH,П1,LL,1274.52,1281.48,1276.27,1284.83,1279.12,1294.7,1.58,1.58,47,HL
14,1,рождение,2017-11-24 11:00,2017-11-28 15:00,LH·HL·HH·HL·LH,П5,LL,1285.81,1291.43,1286.79,1299.33,1290.71,1297.57,1.05,1.05,47,LL
15,1,рождение,2017-12-07 20:00,2017-12-11 11:00,LH·HL·HH·HL·LH,П5,LL,1243.96,1249.76,1244.01,1252.42,1246.97,1251.54,0.68,0.68,37,LL
16,1,рождение,2017-12-12 15:00,2017-12-15 13:00,LH·HL·HH·HL·HH,П1,LL,1236.53,1245.32,1240.3,1259.17,1250.54,1261.96,2.06,2.06,67,HL
17,1,рождение,2017-12-19 18:00,2017-12-21 20:00,HH·HL·HH·HL·HH,П6,LL,1259.24,1266.45,1262.21,1268.34,1262.89,1268.97,0.77,0.77,48,HL
17,2,продолжение,2017-12-22 01:00,2017-12-26 18:00,HH·HL·HH·HL·HH,П6,HL,1265.08,1276.2,1273.41,1279.28,1277.08,1283.84,1.48,1.95,40,HL
17,3,продолжение,2017-12-27 04:00,2018-01-02 23:00,HH·HL·HH·HL·HH,П6,HL,1281.35,1289.03,1288.63,1296.38,1294.75,1321.59,3.14,4.95,87,HL
18,1,рождение,2018-01-04 01:00,2018-01-08 11:00,HH·HL·LH·HL·LH,П25,LL,1305.94,1326.06,1313.68,1322.18,1314.75,1321.15,1.54,1.54,56,HL
19,1,рождение,2018-01-11 07:00,2018-01-17 02:00,HH·HL·HH·HL·LH,П12,LL,1315.82,1333.24,1323.42,1344.87,1331.91,1344.08,2.21,2.21,83,HL
20,1,рождение,2018-01-18 01:00,2018-01-21 23:00,LH·HL·HH·HL·LH,П5,LL,1324.3,1333.2,1325.58,1338.16,1332.23,1335.78,1.05,1.05,44,LL
21,1,рождение,2018-01-22 07:00,2018-01-25 18:00,LH·HL·HH·HL·LH,П5,LL,1328.5,1335.69,1330.79,1366.11,1356.51,1364.88,2.83,2.83,80,LL
22,1,рождение,2018-02-08 12:00,2018-02-12 17:00,HH·HL·HH·HL·LH,П12,LL,1307.08,1322.84,1311.21,1326.7,1316.84,1326.23,1.5,1.5,51,HL
23,1,рождение,2018-02-22 07:00,2018-02-26 07:00,LH·HL·LH·HL·HH,П20,LL,1321.03,1332.34,1325.88,1331.72,1326.73,1341.07,1.52,1.52,46,HL
24,1,рождение,2018-03-01 15:00,2018-03-05 07:00,LH·HL·HH·HL·HH,П1,LL,1302.83,1321.25,1315.82,1325.58,1317.57,1327.87,1.92,1.92,38,HL
25,1,рождение,2018-03-22 17:00,2018-03-27 06:00,HH·HL·HH·HL·HH,П6,LL,1324.81,1351.04,1343.55,1355.95,1350.88,1356.92,2.42,2.42,58,LL
26,1,рождение,2018-04-09 10:00,2018-04-12 07:00,HH·HL·HH·HL·LH,П12,LL,1326.93,1338.38,1331.09,1365.37,1347.65,1352.35,2.9,2.9,66,LL
27,1,рождение,2018-04-13 11:00,2018-04-17 01:00,LH·HL·HH·HL·LH,П5,LL,1333.48,1348.87,1341.18,1350.59,1345.34,1349.45,1.28,1.28,36,LL
28,1,рождение,2018-04-17 12:00,2018-04-19 07:00,LH·HL·HH·HL·LH,П5,LL,1337.71,1347.78,1342.38,1355.81,1347.61,1354.76,1.35,1.35,41,LL
29,1,рождение,2018-05-01 14:00,2018-05-03 12:00,LH·HL·LH·HL·HH,П20,LL,1301.76,1313.72,1303.96,1310.62,1306.5,1318.18,1.26,1.26,44,HL
30,1,рождение,2018-05-21 07:00,2018-05-23 00:00,LH·HL·HH·HL·LH,П5,LL,1282.03,1293.54,1287.95,1296.64,1291.02,1295.71,1.14,1.14,39,LL
31,1,рождение,2018-05-29 13:00,2018-05-31 14:00,LH·HL·HH·HL·LH,П5,LL,1292.89,1304.73,1295.91,1306.91,1298.72,1306.32,1.08,1.08,47,LL
32,1,рождение,2018-06-01 12:00,2018-06-06 14:00,LH·HL·HH·HL·HH,П1,LL,1289.57,1298.09,1289.91,1300.63,1293.9,1301.91,0.96,0.96,71,HL
33,1,рождение,2018-06-21 12:00,2018-06-25 00:00,LH·HL·HH·HL·HH,П1,LL,1261.26,1270.23,1266.75,1271.18,1266.95,1272.7,0.91,0.91,34,LL
34,1,рождение,2018-07-05 10:00,2018-07-09 11:00,HH·HL·LH·HL·HH,П16,LL,1251.38,1259.82,1252.93,1259.58,1253.61,1266.02,1.17,1.17,47,HL
35,1,рождение,2018-07-19 12:00,2018-07-24 14:00,HH·HL·HH·HL·LH,П12,LL,1211.52,1229.6,1215.64,1235.24,1218.19,1229.62,1.96,1.96,71,HL
36,1,рождение,2018-08-08 12:00,2018-08-10 00:00,HH·HL·HH·HL·LH,П12,LL,1206.54,1217.25,1210.83,1217.4,1211.39,1213.52,0.9,0.9,34,LL
37,1,рождение,2018-08-16 00:00,2018-08-20 08:00,LH·HL·LH·HL·HH,П20,LL,1160.32,1182.18,1171.92,1179.38,1173.58,1189.9,2.55,2.55,54,HL
37,2,продолжение,2018-08-20 14:00,2018-08-22 12:00,HH·HL·HH·HL·HH,П6,HL,1184.7,1196.44,1187.71,1197.87,1192.66,1201.71,1.44,3.57,44,LL
38,1,рождение,2018-08-24 00:00,2018-08-28 10:00,HH·HL·HH·HL·HH,П6,LL,1183.15,1208.71,1203.21,1212.56,1208.09,1214.41,2.64,2.64,56,LL
39,1,рождение,2018-09-04 14:00,2018-09-07 01:00,LH·HL·HH·HL·LH,П5,LL,1189.69,1200.04,1195.67,1207.08,1196.82,1203.57,1.46,1.46,56,LL
40,1,рождение,2018-09-11 13:00,2018-09-13 13:00,HH·HL·HH·HL·HH,П6,LL,1187.82,1199.46,1192.73,1208.54,1203.48,1212.75,2.1,2.1,46,LL
41,1,рождение,2018-09-17 00:00,2018-09-19 12:00,LH·HL·LH·HL·HH,П20,LL,1192.89,1204.92,1195.9,1203.63,1196.99,1206.25,1.12,1.12,58,HL
42,1,рождение,2018-09-21 13:00,2018-09-26 05:00,LH·HL·LH·HL·LH,П29,LL,1192.02,1204.23,1197.2,1203.41,1200.01,1202.58,1.02,1.02,61,LL
43,1,рождение,2018-09-28 07:00,2018-10-03 02:00,HH·HL·LH·HL·HH,П16,LL,1180.77,1194.01,1184.62,1192.12,1189.12,1208.4,2.34,2.34,64,HL
44,1,рождение,2018-10-08 15:00,2018-10-11 00:00,LH·HL·LH·HL·HH,П20,LL,1182.9,1191.98,1183.38,1191.48,1185.38,1195.18,1.04,1.04,54,HL
44,2,продолжение,2018-10-11 01:00,2018-10-15 09:00,HH·HL·LH·HL·HH,П16,HL,1191.37,1226.4,1215.9,1223.81,1216.35,1233.29,3.52,4.26,54,HL
45,1,рождение,2018-10-18 06:00,2018-10-22 00:00,HH·HL·HH·HL·LH,П12,LL,1218.74,1230.26,1223.11,1230.86,1225.57,1229.63,1.0,1.0,40,LL
46,1,рождение,2018-11-13 10:00,2018-11-15 09:00,LH·HL·HH·HL·LH,П5,LL,1196.44,1204.72,1197.76,1216.68,1208.39,1216.58,1.69,1.69,45,LL
47,1,рождение,2018-11-15 13:00,2018-11-20 13:00,HH·HL·LH·HL·HH,П16,LL,1207.68,1225.36,1218.1,1225.3,1221.24,1228.88,1.76,1.76,69,LL
48,1,рождение,2018-11-30 14:00,2018-12-06 02:00,HH·HL·HH·HL·LH,П12,LL,1216.75,1235.07,1230.08,1242.04,1233.42,1240.85,2.08,2.08,80,HL
48,2,продолжение,2018-12-06 07:00,2018-12-11 10:00,HH·HL·HH·HL·LH,П12,HL,1234.79,1244.36,1236.53,1251.28,1241.64,1249.58,1.34,2.84,72,LL
49,1,рождение,2018-12-11 19:00,2018-12-13 07:00,LH·HL·HH·HL·LH,П5,LL,1241.09,1246.25,1242.09,1247.24,1244.05,1246.84,0.5,0.5,34,LL
50,1,рождение,2018-12-14 14:00,2018-12-18 11:00,LH·HL·HH·HL·HH,П1,LL,1233.0,1240.39,1235.87,1248.2,1245.17,1250.48,1.42,1.42,43,HL
51,1,рождение,2018-12-19 21:00,2018-12-26 16:00,HH·HL·LH·HL·HH,П16,LL,1241.85,1266.56,1254.01,1265.48,1259.44,1279.13,3.0,3.0,85,HL
51,2,продолжение,2018-12-26 20:00,2018-12-31 11:00,LH·HL·HH·HL·HH,П1,HL,1264.72,1272.42,1266.75,1282.24,1277.56,1284.2,1.54,3.41,60,HL
51,3,продолжение,2018-12-31 18:00,2019-01-04 01:00,HH·HL·HH·HL·HH,П6,HL,1278.16,1288.84,1278.86,1292.35,1284.67,1298.63,1.6,4.57,52,LL
52,1,рождение,2019-01-08 13:00,2019-01-11 08:00,LH·HL·HH·HL·LH,П5,LL,1279.44,1287.24,1280.15,1297.19,1286.14,1295.25,1.39,1.39,64,HL
53,1,рождение,2019-01-15 17:00,2019-01-17 08:00,LH·HL·HH·HL·LH,П5,LL,1286.81,1292.76,1287.98,1295.43,1291.43,1295.08,0.67,0.67,37,LL
