слой,направление,точка счёта,флаг,случаев,умер до 1 колена,умер до 2,умер до 3,встречный родился до 1,до 2,до 3,дошёл до (5)
5/5,восходящий,1,да,2,0,0,0,2,2,2,1
5/5,восходящий,1,нет,595,106,157,239,340,362,467,302
5/5,восходящий,2,да,115,17,38,54,112,112,112,60
5/5,восходящий,2,нет,375,34,95,131,118,231,250,243
5/5,восходящий,3,да,98,21,37,55,84,86,89,60
5/5,восходящий,3,нет,559,79,133,243,301,329,425,424
5/5,восходящий,4,да,112,22,47,49,85,92,92,89
5/5,восходящий,4,нет,445,48,151,170,179,283,298,395
5/5,восходящий,5,да,89,24,26,39,58,58,72,89
5/5,восходящий,5,нет,430,115,133,197,231,248,316,430
5/5,нисходящий,1,нет,587,127,168,281,388,399,483,271
5/5,нисходящий,2,да,106,22,49,57,100,101,101,49
5/5,нисходящий,2,нет,354,19,105,132,130,226,242,222
5/5,нисходящий,3,да,82,25,33,44,73,73,77,49
5/5,нисходящий,3,нет,533,119,157,265,302,322,435,376
5/5,нисходящий,4,да,87,12,25,32,66,73,73,75
5/5,нисходящий,4,нет,383,33,139,161,141,262,282,350
5/5,нисходящий,5,да,75,13,20,39,55,56,67,75
5/5,нисходящий,5,нет,379,115,138,198,234,256,318,379
3/3,восходящий,1,да,5,1,1,1,5,5,5,3
3/3,восходящий,1,нет,910,134,203,339,536,570,711,497
3/3,восходящий,2,да,201,30,58,74,187,189,190,125
3/3,восходящий,2,нет,576,38,146,200,170,341,366,374
3/3,восходящий,3,да,172,28,44,77,144,146,159,126
3/3,восходящий,3,нет,847,142,223,386,480,520,672,622
3/3,восходящий,4,да,200,26,65,66,151,170,172,172
3/3,восходящий,4,нет,648,71,228,262,286,450,481,575
3/3,восходящий,5,да,174,39,40,70,123,125,144,174
3/3,восходящий,5,нет,621,169,206,269,376,407,498,621
3/3,нисходящий,1,нет,909,174,239,386,608,632,762,453
3/3,нисходящий,2,да,196,37,72,84,191,191,192,112
3/3,нисходящий,2,нет,538,28,140,194,199,348,367,340
3/3,нисходящий,3,да,159,34,46,91,138,140,149,113
3/3,нисходящий,3,нет,798,159,233,423,481,513,663,559
3/3,нисходящий,4,да,172,21,77,86,135,150,153,150
3/3,нисходящий,4,нет,591,65,244,267,262,427,439,521
3/3,нисходящий,5,да,151,56,65,85,115,118,133,151
3/3,нисходящий,5,нет,560,185,208,287,360,373,474,560
2/2,восходящий,1,да,5,1,2,2,5,5,5,2
2/2,восходящий,1,нет,1287,213,298,474,780,833,1041,711
2/2,восходящий,2,да,276,42,86,108,252,254,256,168
2/2,восходящий,2,нет,799,43,175,256,254,490,516,543
2/2,восходящий,3,да,237,43,67,110,196,201,218,170
2/2,восходящий,3,нет,1157,167,272,515,673,712,918,883
2/2,восходящий,4,да,275,35,92,101,203,229,230,240
2/2,восходящий,4,нет,908,93,322,370,406,633,662,813
2/2,восходящий,5,да,241,57,66,103,169,172,202,241
2/2,восходящий,5,нет,880,248,301,397,531,564,694,880
2/2,нисходящий,1,нет,1287,249,326,557,830,873,1071,649
2/2,нисходящий,2,да,273,40,97,112,256,257,258,158
2/2,нисходящий,2,нет,762,35,209,271,266,491,515,490
2/2,нисходящий,3,да,230,54,70,128,190,191,209,159
2/2,нисходящий,3,нет,1128,241,326,584,694,725,915,797
2/2,нисходящий,4,да,235,27,95,109,173,201,206,207
2/2,нисходящий,4,нет,825,72,320,354,363,585,601,747
2/2,нисходящий,5,да,208,68,82,113,155,161,189,208
2/2,нисходящий,5,нет,816,268,305,418,521,538,665,816
