слой,бар нуля,дата нуля,цена нуля,последовательность,цена (1),цена (2),цена (3),цена (4),цена (5),бар (1),бар (2),бар (3),бар (4),бар (5),все низы выше,все вершины выше,чистая,встречных,ход в цене,ход в импульсах,ход % от нуля,первый импульс,баров,ниже нуля,глубина ниже нуля %,хватило данных,перекрытие
5/5,36,2017-07-27 16:00,1254.584,HH·HL·LH·LL·HH,1271.232,1265.877,1270.852,1262.556,1274.204,64,73,93,101,103,нет,нет,нет,2,19.62,1.179,1.5639,16.648,67,нет,0.0,да,нет
5/5,101,2017-08-01 12:00,1262.556,HH·HL·LH·LL·LH,1274.204,1262.998,1272.948,1256.248,1270.88,103,124,129,134,154,нет,нет,нет,3,11.648,1.0,0.9226,11.648,53,да,0.4996,да,да
5/5,134,2017-08-02 23:00,1256.248,LH·HL·LH·LL·LH,1270.88,1267.338,1270.281,1254.271,1259.645,154,160,165,172,178,нет,нет,нет,4,14.632,1.0,1.1647,14.632,44,да,0.1574,да,да
5/5,172,2017-08-04 14:00,1254.271,LH·HL·HH·HL·HH,1259.645,1255.829,1260.039,1257.076,1261.054,178,193,198,202,206,да,нет,нет,1,6.783,1.262,0.5408,5.374,34,нет,0.0,да,да
5/5,219,2017-08-08 15:00,1251.614,HH·HL·HH·LL·LH,1289.112,1283.968,1292.354,1281.356,1291.842,274,274,285,286,292,нет,нет,нет,2,40.74,1.086,3.255,37.498,73,нет,0.0,да,нет
5/5,286,2017-08-11 13:00,1281.356,LH·LL·LH·LL·LH,1291.842,1278.685,1285.631,1267.397,1275.176,292,307,312,332,336,нет,нет,нет,5,10.486,1.0,0.8184,10.486,50,да,1.0894,да,да
5/5,307,2017-08-14 11:00,1278.685,LH·LL·LH·HL·HH,1285.631,1267.397,1275.176,1267.734,1290.253,312,332,336,355,372,нет,нет,нет,3,11.568,1.665,0.9047,6.946,65,да,0.8828,да,да
5/5,332,2017-08-15 13:00,1267.397,LH·HL·HH·HL·LH,1275.176,1267.734,1290.253,1281.254,1289.462,336,355,372,379,387,да,нет,нет,2,22.856,2.938,1.8034,7.779,55,нет,0.0,да,да
5/5,410,2017-08-20 23:00,1280.613,LH·HL·LH·LL·HH,1294.081,1283.148,1291.23,1282.053,1291.598,424,441,447,448,469,нет,нет,нет,3,13.468,1.0,1.0517,13.468,59,нет,0.0,да,нет
5/5,448,2017-08-22 14:00,1282.053,HH·HL·LH·HL·HH,1291.598,1284.492,1290.249,1284.881,1295.152,469,488,493,494,516,да,нет,нет,1,13.099,1.372,1.0217,9.545,68,да,0.4568,да,да
