направление,слой,рождение,смерть,баров жил,ноль,докуда дошёл счёт
восходящий,5/5,2017-07-31 03:00,2017-08-04 12:00,101,HL,4
восходящий,5/5,2017-08-07 23:00,2017-08-08 14:00,15,HL,0
восходящий,5/5,2017-08-09 05:00,2017-08-14 23:00,86,LL,5
восходящий,5/5,2017-08-17 06:00,2017-08-25 13:00,145,HL,2
восходящий,5/5,2017-08-29 03:00,2017-08-31 01:00,44,LL,5
восходящий,5/5,2017-09-01 01:00,2017-09-05 11:00,52,HL,1
восходящий,5/5,2017-09-06 01:00,2017-09-06 16:00,15,LL,3
восходящий,5/5,2017-09-08 10:00,2017-09-11 17:00,30,LL,3
восходящий,5/5,2017-09-20 14:00,2017-09-20 19:00,5,LL,3
восходящий,5/5,2017-09-21 00:00,2017-09-21 01:00,1,LL,3
восходящий,5/5,2017-09-26 02:00,2017-09-28 03:00,47,LL,2
восходящий,5/5,2017-09-29 17:00,2017-10-02 00:00,6,LL,4
восходящий,5/5,2017-10-03 20:00,2017-10-05 17:00,43,HL,1
восходящий,5/5,2017-10-09 11:00,2017-10-11 18:00,53,LL,5
восходящий,5/5,2017-10-12 12:00,2017-10-16 18:00,52,HL,1
восходящий,5/5,2017-10-20 04:00,2017-10-23 12:00,31,LL,2
восходящий,5/5,2017-10-26 10:00,2017-10-26 19:00,9,LL,1
восходящий,5/5,2017-10-27 13:00,2017-10-27 14:00,1,LL,1
восходящий,5/5,2017-10-30 22:00,2017-10-31 12:00,14,LL,5
восходящий,5/5,2017-11-01 15:00,2017-11-03 14:00,45,HL,1
восходящий,5/5,2017-11-06 23:00,2017-11-10 16:00,86,HL,4
восходящий,5/5,2017-11-15 00:00,2017-11-16 04:00,27,LL,4
восходящий,5/5,2017-11-17 07:00,2017-11-20 16:00,32,HL,0
восходящий,5/5,2017-11-21 20:00,2017-11-29 13:00,124,HL,1
восходящий,5/5,2017-12-01 21:00,2017-12-05 14:00,39,HL,0
восходящий,5/5,2017-12-08 19:00,2017-12-11 18:00,22,LL,5
восходящий,5/5,2017-12-14 06:00,2018-01-04 00:00,293,HL,5
восходящий,5/5,2018-01-05 02:00,2018-01-09 13:00,57,HL,3
восходящий,5/5,2018-01-10 16:00,2018-01-17 19:00,114,HL,5
восходящий,5/5,2018-01-19 13:00,2018-01-22 06:00,16,LL,5
восходящий,5/5,2018-01-24 04:00,2018-01-26 01:00,43,LL,5
восходящий,5/5,2018-02-01 02:00,2018-02-02 14:00,35,LL,3
восходящий,5/5,2018-02-06 07:00,2018-02-06 20:00,13,LL,3
восходящий,5/5,2018-02-09 04:00,2018-02-20 00:00,153,HL,4
восходящий,5/5,2018-02-26 12:00,2018-02-27 13:00,24,HL,2
восходящий,5/5,2018-03-02 19:00,2018-03-08 15:00,88,HL,3
восходящий,5/5,2018-03-11 22:00,2018-03-12 10:00,12,LL,3
восходящий,5/5,2018-03-13 04:00,2018-03-15 12:00,54,LL,5
восходящий,5/5,2018-03-22 01:00,2018-03-27 11:00,79,HL,2
восходящий,5/5,2018-03-27 11:00,2018-03-29 12:00,47,LL,5
восходящий,5/5,2018-04-03 00:00,2018-04-03 13:00,13,LL,3
восходящий,5/5,2018-04-04 17:00,2018-04-05 17:00,23,LL,3
восходящий,5/5,2018-04-06 06:00,2018-04-09 11:00,28,LL,5
восходящий,5/5,2018-04-10 05:00,2018-04-12 13:00,54,LL,5
восходящий,5/5,2018-04-16 19:00,2018-04-17 07:00,11,LL,5
восходящий,5/5,2018-04-18 18:00,2018-04-19 15:00,20,LL,5
восходящий,5/5,2018-04-25 00:00,2018-04-26 14:00,37,LL,5
восходящий,5/5,2018-04-30 00:00,2018-04-30 13:00,13,LL,3
восходящий,5/5,2018-05-03 17:00,2018-05-04 08:00,14,HL,1
восходящий,5/5,2018-05-07 06:00,2018-05-08 13:00,30,LL,3
восходящий,5/5,2018-05-09 00:00,2018-05-14 17:00,86,HL,3
восходящий,5/5,2018-05-21 00:00,2018-05-21 07:00,7,LL,1
восходящий,5/5,2018-05-22 13:00,2018-05-28 23:00,97,HL,2
восходящий,5/5,2018-05-29 13:00,2018-06-01 11:00,67,HL,4
восходящий,5/5,2018-06-05 22:00,2018-06-11 09:00,80,HL,5
восходящий,5/5,2018-06-11 20:00,2018-06-13 07:00,33,LL,3
восходящий,5/5,2018-06-14 01:00,2018-06-15 12:00,34,LL,4
восходящий,5/5,2018-06-19 09:00,2018-06-19 11:00,2,LL,1
восходящий,5/5,2018-06-20 18:00,2018-06-20 20:00,2,LL,1
восходящий,5/5,2018-06-21 06:00,2018-06-21 07:00,1,LL,1
восходящий,5/5,2018-06-22 12:00,2018-06-25 05:00,16,LL,5
восходящий,5/5,2018-06-25 05:00,2018-06-26 07:00,25,HL,0
восходящий,5/5,2018-07-01 22:00,2018-07-02 16:00,18,LL,4
восходящий,5/5,2018-07-03 20:00,2018-07-05 09:00,31,LL,3
восходящий,5/5,2018-07-05 20:00,2018-07-10 08:00,57,HL,1
восходящий,5/5,2018-07-17 14:00,2018-07-17 15:00,1,LL,1
восходящий,5/5,2018-07-19 23:00,2018-07-26 17:00,110,HL,3
восходящий,5/5,2018-07-27 20:00,2018-08-01 14:00,63,HL,1
восходящий,5/5,2018-08-09 11:00,2018-08-10 05:00,17,LL,4
восходящий,5/5,2018-08-10 19:00,2018-08-13 05:00,9,LL,3
восходящий,5/5,2018-08-20 13:00,2018-08-23 02:00,58,HL,0
восходящий,5/5,2018-08-24 20:00,2018-08-28 17:00,43,LL,5
восходящий,5/5,2018-08-31 13:00,2018-09-04 06:00,35,LL,4
восходящий,5/5,2018-09-06 18:00,2018-09-10 01:00,29,LL,5
восходящий,5/5,2018-09-10 19:00,2018-09-11 12:00,16,LL,2
восходящий,5/5,2018-09-12 02:00,2018-09-14 14:00,58,LL,5
восходящий,5/5,2018-09-19 17:00,2018-09-21 12:00,41,HL,3
восходящий,5/5,2018-09-30 23:00,2018-10-08 09:00,125,HL,3
восходящий,5/5,2018-10-11 05:00,2018-10-17 02:00,89,HL,3
восходящий,5/5,2018-10-18 20:00,2018-10-22 08:00,34,LL,5
восходящий,5/5,2018-10-23 17:00,2018-10-24 11:00,17,LL,3
восходящий,5/5,2018-10-25 11:00,2018-10-29 08:00,43,HL,1
восходящий,5/5,2018-11-01 23:00,2018-11-06 16:00,62,HL,1
